street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"Gl Vejlevej 59, 1",Daugård,8721,3,96,1987,6400000.0,01-05-2017
Gl Vejlevej 45,Daugård,8721,6,150,1968,850000.0,23-02-2017
Lærkevænget 10,Daugård,8721,4,123,1969,860000.0,22-02-2017
Daugårdvej 20,Daugård,8721,9,348,1877,750000.0,18-02-2017
Ørumvej 106,Daugård,8721,7,251,1877,1300000.0,13-01-2017
Korshøjvej 26,Daugård,8721,4,97,1931,2000000.0,20-12-2016
Strandvejen 36,Daugård,8721,5,138,1899,1742500.0,20-12-2016
Strandvejen 34,Daugård,8721,4,129,1902,708000.0,12-12-2016
Vibevej 11,Daugård,8721,4,135,1970,1262500.0,09-12-2016
Højkildevej 36,Daugård,8721,5,190,1962,900000.0,06-12-2016
Vibevej 8,Daugård,8721,10,378,1969,4600000.0,05-12-2016
Lærkevænget 14,Daugård,8721,6,141,1966,900000.0,04-11-2016
Nordbygårdvej 76,Daugård,8721,4,138,2006,1985000.0,21-10-2016
Nordbygårdvej 106,Daugård,8721,6,163,2008,2287500.0,05-10-2016
Strandvejen 46,Daugård,8721,4,218,1950,5650000.0,20-09-2016
Tranevej 107,Daugård,8721,4,149,1986,737500.0,15-09-2016
Møllevænget 5,Daugård,8721,3,168,1946,1320000.0,05-09-2016
Gl Vejlevej 56,Daugård,8721,7,272,1935,142000.0,29-08-2016
Tranevej 53,Daugård,8721,4,112,1985,1275000.0,27-08-2016
Tranevej 19,Daugård,8721,4,132,1978,1050000.0,25-08-2016
Stabelhjørnevej 19,Daugård,8721,9,256,1993,2738023.0,22-08-2016
Nordbygårdvej 39,Daugård,8721,6,187,1998,1925000.0,22-08-2016
Lærkevænget 12,Daugård,8721,5,159,1967,695000.0,21-07-2016
Tranevej 51,Daugård,8721,5,137,1986,1450000.0,13-07-2016
Strandvejen 88,Daugård,8721,3,115,1979,3700000.0,12-07-2016
Drosselvej 10,Daugård,8721,7,159,1967,1050000.0,16-06-2016
Gl Vejlevej 52,Daugård,8721,5,144,1918,1250000.0,16-06-2016
Strandvejen 7,Daugård,8721,3,90,1963,2800000.0,14-06-2016
Åløkkevej 4,Daugård,8721,5,132,1938,516000.0,15-03-2016
Nordbygårdvej 64,Daugård,8721,4,204,2009,1700000.0,19-02-2016
Strandvejen 44,Daugård,8721,6,170,1877,400475.0,25-01-2016
Tranevej 31,Daugård,8721,5,136,1976,995000.0,04-01-2016
Storskovvej 23,Daugård,8721,7,280,1900,11400000.0,30-12-2015
Tranevej 23,Daugård,8721,6,160,1977,1500000.0,14-12-2015
Strandvejen 38,Daugård,8721,6,145,1931,1660000.0,01-11-2015
Lærkevænget 4,Daugård,8721,5,104,1967,900000.0,30-10-2015
Tranevej 27,Daugård,8721,5,156,1978,1475000.0,08-10-2015
Lærkevænget 6,Daugård,8721,4,112,1966,1000000.0,24-09-2015
Nordbygårdvej 134,Daugård,8721,4,165,2007,2375000.0,29-08-2015
Gl Vejlevej 17,Daugård,8721,11,230,1939,1150000.0,07-07-2015
Juelsmindevej 381,Daugård,8721,11,363,1861,180000.0,06-07-2015
Mælkevejen 26,Daugård,8721,3,90,2005,2150000.0,26-06-2015
Nordbygårdvej 69,Daugård,8721,6,258,2000,3150000.0,16-06-2015
Vandværksvej 29,Daugård,8721,4,97,1975,875000.0,08-06-2015
Mælkevejen 2,Daugård,8721,3,91,1877,700000.0,22-05-2015
Møllevænget 4,Daugård,8721,5,162,2013,165000.0,30-04-2015
Højkildevej 70,Daugård,8721,9,361,1937,438319.0,07-04-2015
Gl Vejlevej 31,Daugård,8721,6,140,1930,290018.0,24-03-2015
Bogfinkevej 14,Daugård,8721,7,215,1973,1240000.0,19-03-2015
