street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Bygmarken 46,Kirke Såby,4060,4,103,1970,1425000.0,25-04-2017
Vibekæret 32,Kirke Såby,4060,2,45,1971,225000.0,19-04-2017
Indelukket 27,Kirke Såby,4060,2,42,1990,550000.0,06-04-2017
Vibekæret 82,Kirke Såby,4060,3,69,1972,600000.0,30-03-2017
Svanevej 3,Kirke Såby,4060,3,50,1962,540000.0,24-03-2017
Ternevej 1,Kirke Såby,4060,3,57,1964,585000.0,20-02-2017
Lundegårdsvej 1,Kirke Såby,4060,6,180,1927,16560000.0,02-02-2017
Kolibrivænget 3,Kirke Såby,4060,4,155,1977,1815000.0,12-01-2017
Bygmarken 65,Kirke Såby,4060,4,150,1974,1590000.0,03-01-2017
Hyldevænget 3,Kirke Såby,4060,4,127,1968,1720000.0,27-12-2016
Bygmarken 59,Kirke Såby,4060,5,130,1975,1700000.0,19-12-2016
Kastanievej 9,Kirke Såby,4060,7,223,2008,3650000.0,14-12-2016
Vibekæret 37,Kirke Såby,4060,4,81,1964,750000.0,12-12-2016
Havrevænget 83,Kirke Såby,4060,5,188,1977,625000.0,08-12-2016
Ørnevænget 2,Kirke Såby,4060,5,192,1974,1750000.0,06-12-2016
Lokesvej 1,Kirke Såby,4060,8,276,1850,2750000.0,02-12-2016
Acacievej 6A,Kirke Såby,4060,4,124,1974,1100000.0,30-11-2016
Ternevej 10,Kirke Såby,4060,3,78,1976,1375000.0,28-11-2016
Bygmarken 29,Kirke Såby,4060,4,134,1979,1535000.0,28-10-2016
Elmevænget 10,Kirke Såby,4060,4,146,1967,1895000.0,25-10-2016
Torkilstrupvej 20,Kirke Såby,4060,4,136,1921,535000.0,25-10-2016
Birkevænget 6,Kirke Såby,4060,4,142,1969,1675000.0,25-10-2016
Vibekæret 35,Kirke Såby,4060,2,80,1980,840000.0,24-10-2016
Fjordvej 10,Kirke Såby,4060,3,110,1961,1345000.0,21-10-2016
Vibevænget 10,Kirke Såby,4060,4,109,1990,1650000.0,18-10-2016
Hejrevej 1,Kirke Såby,4060,3,70,1960,1800000.0,12-10-2016
Thorsvej 22,Kirke Såby,4060,5,187,1996,2425000.0,11-10-2016
Bakkevænget 10,Kirke Såby,4060,4,141,2001,1700000.0,03-10-2016
Ravnevænget 8,Kirke Såby,4060,5,177,1985,2478750.0,28-09-2016
Fynsvej 14,Kirke Såby,4060,4,153,1917,1480000.0,15-09-2016
Bygmarken 21,Kirke Såby,4060,4,126,1977,1495000.0,11-09-2016
Bygmarken 74,Kirke Såby,4060,4,120,1973,1300000.0,08-09-2016
Hejrevej 10,Kirke Såby,4060,3,144,1976,935000.0,30-08-2016
Ægirsvej 7,Kirke Såby,4060,3,83,1917,700000.0,19-08-2016
Acacievej 17,Kirke Såby,4060,5,164,1962,1945000.0,17-08-2016
Kolibrivænget 9,Kirke Såby,4060,6,189,1978,1670000.0,16-08-2016
Bygmarken 19,Kirke Såby,4060,4,113,1970,1295000.0,16-08-2016
Landevejen 3,Kirke Såby,4060,4,228,1827,4300000.0,14-08-2016
Mandøvej 14,Kirke Såby,4060,4,126,1980,1595000.0,17-07-2016
Vibekæret 20,Kirke Såby,4060,3,50,1971,357011.0,12-07-2016
Vintre Møller 24,Kirke Såby,4060,5,103,1949,1330000.0,08-07-2016
Bygmarken 91,Kirke Såby,4060,4,134,2000,750000.0,06-07-2016
Sonnerup Gade 33B,Kirke Såby,4060,4,99,1985,1401500.0,06-07-2016
Drosselvænget 3,Kirke Såby,4060,4,144,1973,1525000.0,30-06-2016
Bygmarken 28,Kirke Såby,4060,5,177,1974,1600000.0,23-06-2016
