street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Dalby Bygade 29,Dalby,5380,5,142,1933,650000.0,15-12-2016
Dalby Bygade 12,Dalby,5380,5,135,1943,1200000.0,21-10-2016
Mosegårdsvej 69,Dalby,5380,3,90,1933,840000.0,14-07-2016
Dalby Bygade 2B,Dalby,5380,3,90,1850,1145000.0,05-07-2016
Møllegyden 82,Dalby,5380,5,98,1926,1164000.0,10-02-2016
Birkebjergvej 80,Dalby,5380,5,149,1914,920000.0,26-10-2015
Sandbjergvej 100,Dalby,5380,4,115,1900,300000.0,26-10-2015
Hersnap Bygade 4,Dalby,5380,4,110,1827,345000.0,29-09-2015
Fynshovedvej 327,Dalby,5380,3,112,1967,850000.0,22-09-2015
Birkebjergvænget 18,Dalby,5380,4,140,1847,1100000.0,08-09-2015
Fynshovedvej 364,Dalby,5380,5,115,1958,785000.0,04-09-2015
Christen Koldsvej 27,Dalby,5380,6,171,1998,1245000.0,07-07-2015
Christen Koldsvej 12,Dalby,5380,4,162,1999,1320000.0,18-06-2015
Dalby Bygade 8,Dalby,5380,4,172,1852,775000.0,16-06-2015
Hersnapvej 99,Dalby,5380,5,158,1962,995000.0,12-04-2015
Fynshovedvej 360,Dalby,5380,5,90,1950,750000.0,05-01-2015
Hersnapvej 97,Dalby,5380,6,213,1877,1500000.0,02-12-2014
Fynshovedvej 297,Dalby,5380,12,225,1900,244000.0,18-11-2014
Dalby Bygade 2A,Dalby,5380,5,155,1976,1300000.0,25-08-2014
Dalby Bygade 39,Dalby,5380,9,213,1922,1300000.0,20-08-2014
Fynshovedvej 299,Dalby,5380,5,131,1852,475000.0,30-04-2014
Fynshovedvej 354,Dalby,5380,4,130,1960,795000.0,27-03-2014
Blæsenborgvej 116,Dalby,5380,6,194,1930,183645.0,17-01-2014
Dalby Bygade 6,Dalby,5380,4,80,1957,272000.0,14-01-2014
Birkebjergvænget 22,Dalby,5380,6,173,1912,1730000.0,01-08-2013
Bogensøvej 71,Dalby,5380,6,188,2009,693540.0,16-06-2013
Fynshovedvej 294,Dalby,5380,6,150,1907,362500.0,23-04-2013
Blæsenborgvej 76,Dalby,5380,9,351,2006,6135000.0,16-12-2012
Fynshovedvej 257,Dalby,5380,6,150,1840,519400.0,23-11-2012
Bjørnegårdsvej 22,Dalby,5380,8,198,1916,2500000.0,15-11-2012
Nørrebrovænget 4,Dalby,5380,5,122,1963,405000.0,13-10-2011
Sandbjergvej 199,Dalby,5380,8,200,1904,6545000.0,06-09-2011
Christen Koldsvej 21,Dalby,5380,4,115,1981,800000.0,28-07-2011
Birkebjergvej 85,Dalby,5380,8,195,1877,840000.0,13-07-2011
Mosegårdsvej 75,Dalby,5380,5,231,1902,1395000.0,27-04-2011
Dalby Bygade 28,Dalby,5380,3,85,2005,1000000.0,28-02-2011
Dalby Bygade 30,Dalby,5380,3,85,2005,1000000.0,28-02-2011
Smedegyden 81,Dalby,5380,6,146,1820,120000.0,18-10-2010
Birkebjergvej 125,Dalby,5380,6,199,2012,850000.0,01-09-2010
Bøgebjergvej 2,Dalby,5380,2,39,2005,833000.0,22-07-2010
Fynshovedvej 288,Dalby,5380,4,104,1870,850000.0,06-07-2010
Fynshovedvej 344,Dalby,5380,5,115,1912,935000.0,26-06-2010
Fynshovedvej 342,Dalby,5380,4,103,1890,650000.0,18-03-2010
Smedegyden 67,Dalby,5380,5,159,1959,1185000.0,15-03-2010
Sandbjergvej 74,Dalby,5380,4,105,1962,800000.0,21-10-2009
Fynshovedvej 350,Dalby,5380,5,120,1945,1070000.0,15-06-2009
Bøgebjergvej 66,Dalby,5380,3,26,1947,950000.0,05-06-2009
Bøgebjergvej 48,Dalby,5380,4,53,1954,1200000.0,12-03-2009
Fynshovedvej 348,Dalby,5380,4,99,1890,860000.0,04-03-2009
Hersnapvej 79,Dalby,5380,9,226,1937,4525000.0,25-02-2009
Bøgebjergvej 50,Dalby,5380,2,40,1955,1325000.0,05-02-2009
Bjørnegårdsvej 135,Dalby,5380,5,120,1922,687300.0,16-01-2009
Mosegårdsvej 39,Dalby,5380,7,140,1677,1496250.0,20-12-2008
Mosegårdsvej 65,Dalby,5380,6,169,1934,750000.0,14-11-2008
Bøgebjergvej 54,Dalby,5380,1,36,2010,650000.0,03-11-2008
Bøgebjergvej 80,Dalby,5380,1,25,1950,700000.0,28-10-2008
Birkebjergvej 60,Dalby,5380,5,117,1827,892500.0,27-10-2008
Nørrebrovænget 10,Dalby,5380,4,129,1965,1200000.0,07-10-2008
Bøgebjergvej 70,Dalby,5380,3,40,1947,705500.0,30-06-2008
Bøgebjergvej 72,Dalby,5380,2,39,1960,1175000.0,08-05-2008
Hersnap Bygade 9,Dalby,5380,4,150,1875,1450000.0,17-04-2008
Hersnapvænget 39,Dalby,5380,4,108,1790,1250000.0,17-04-2008
Blæsenborgvej 123,Dalby,5380,7,211,1775,2955355.0,27-03-2008
Dalby Bygade 19,Dalby,5380,10,180,1867,1400000.0,29-01-2008
Hersnapvænget 24A,Dalby,5380,4,115,1923,1195000.0,24-01-2008
Sandbjergvej 168,Dalby,5380,4,129,1950,1170000.0,22-01-2008
Dalby Bygade 26,Dalby,5380,8,142,1979,1550000.0,07-09-2007
Bøgebjergvej 84,Dalby,5380,2,35,1935,925000.0,27-08-2007
Bøgebjergvej 36,Dalby,5380,1,36,1966,745000.0,18-07-2007
Smedegyden 2,Dalby,5380,7,270,1927,1500000.0,18-07-2007
Hersnapvej 111,Dalby,5380,6,188,1777,59260.0,19-06-2007
Bøgebjergvej 82,Dalby,5380,2,32,1993,1275000.0,24-05-2007
Hersnap Bygade 20,Dalby,5380,5,90,1901,800000.0,11-04-2007
Fynshovedvej 302,Dalby,5380,3,72,1880,1050000.0,29-03-2007
Dalby Bygade 55,Dalby,5380,4,90,1900,915000.0,22-03-2007
Birkebjergvej 105,Dalby,5380,3,114,1957,1850000.0,29-12-2006
Fynshovedvej 338,Dalby,5380,4,80,1895,625000.0,21-12-2006
Dalby Bygade 20,Dalby,5380,5,133,1978,1100000.0,16-10-2006
Dalby Bygade 52,Dalby,5380,4,76,1917,510000.0,07-10-2006
Birkebjergvænget 10,Dalby,5380,6,192,1677,900000.0,04-09-2006
Bøgebjergvej 78,Dalby,5380,2,30,1927,935000.0,07-08-2006
Mosegårdsvej 55,Dalby,5380,,,,307500.0,27-06-2006
Christen Koldsvej 6,Dalby,5380,4,137,1982,1090000.0,21-06-2006
Bøgebjergvej 60,Dalby,5380,1,26,1955,915000.0,17-06-2006
Dalby Bygade 43,Dalby,5380,5,210,1900,1667000.0,05-06-2006
Hersnapvej 3,Dalby,5380,6,120,1909,775000.0,19-05-2006
Dalby Bygade 14,Dalby,5380,3,105,1933,1125000.0,08-05-2006
Fynshovedvej 306,Dalby,5380,3,114,1777,235000.0,20-03-2006
Mosegårdsvej 60,Dalby,5380,3,128,1981,900000.0,17-12-2005
Christen Koldsvej 3,Dalby,5380,4,123,1984,1160000.0,12-12-2005
Blæsenborgvej 69,Dalby,5380,6,144,1903,850000.0,01-12-2005
Smedegyden 66,Dalby,5380,4,157,1975,5000000.0,04-09-2005
Bøgebjergvej 110,Dalby,5380,2,41,2001,1500000.0,24-08-2005
Søndervænget 7,Dalby,5380,6,240,1972,1000000.0,17-08-2005
Dalby Bygade 27,Dalby,5380,4,99,1935,840000.0,15-07-2005
Dalby Bygade 10,Dalby,5380,7,184,1935,1300000.0,11-07-2005
Fynshovedvej 396,Dalby,5380,3,145,1910,1625000.0,06-07-2005
Hersnapvej 235,Dalby,5380,6,198,1964,850000.0,29-05-2005
Dalby Bygade 23,Dalby,5380,6,167,1974,1130000.0,25-04-2005
Christen Koldsvej 23,Dalby,5380,6,123,1998,1195000.0,11-03-2005
Søndervænget 5,Dalby,5380,7,215,1971,1250000.0,07-02-2005
Sandbjergvej 94,Dalby,5380,8,162,1850,875000.0,13-01-2005
Sandbjergvej 111,Dalby,5380,6,102,1936,472369.0,16-12-2004
Bøgebjergvej 26,Dalby,5380,2,29,1960,1200000.0,25-07-2004
