street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Løvvænget 9,Hesselager,5874,6,167,1974,800000.0,19-04-2017
Bøsørevej 44,Hesselager,5874,5,110,1900,592500.0,06-04-2017
Skovvænget 12,Hesselager,5874,3,88,1970,750000.0,01-03-2017
Kløvermarksvej 6,Hesselager,5874,3,104,1974,695000.0,28-02-2017
Østergade 64,Hesselager,5874,4,123,1976,1295000.0,28-02-2017
Svendborg Landevej 46,Hesselager,5874,10,351,1934,6332500.0,27-02-2017
Hesselagergårdsvej 1,Hesselager,5874,4,170,1875,1825000.0,26-02-2017
Bøsørevej 52,Hesselager,5874,6,272,1800,978768.0,15-02-2017
Skovvænget 10,Hesselager,5874,9,223,1969,1550000.0,14-02-2017
Svinget 9,Hesselager,5874,4,90,1826,210000.0,13-02-2017
Stentoften 54,Hesselager,5874,3,70,1965,750000.0,08-02-2017
Kalkvej 23,Hesselager,5874,6,186,1927,900000.0,25-01-2017
Udsigten 11,Hesselager,5874,6,256,1900,995000.0,23-01-2017
Bøsørevej 60,Hesselager,5874,4,114,1910,2245000.0,09-01-2017
Genvejen 1,Hesselager,5874,5,163,1890,175000.0,19-12-2016
Galdbjerg Kohavevej 12,Hesselager,5874,5,96,1900,675000.0,05-12-2016
Lysemosevej 2,Hesselager,5874,5,175,1877,24800000.0,17-11-2016
Stenmurevej 14,Hesselager,5874,9,190,1929,3857259.0,16-10-2016
Hesselagergårdsvej 43,Hesselager,5874,3,112,1960,633000.0,16-10-2016
Kløvertoften 6,Hesselager,5874,3,45,1970,740000.0,05-10-2016
Byvejen 16,Hesselager,5874,4,152,1908,120000.0,28-09-2016
Stenmurevej 18,Hesselager,5874,5,140,1959,1625000.0,21-09-2016
Buevej 13,Hesselager,5874,4,112,1967,610000.0,13-09-2016
Fiskergade 5,Hesselager,5874,5,96,1949,325000.0,06-09-2016
Momleby 2,Hesselager,5874,7,154,1864,1150000.0,05-09-2016
Højdevej 11,Hesselager,5874,6,122,1952,400000.0,17-08-2016
Solbakkevej 6,Hesselager,5874,7,160,1978,1150000.0,07-08-2016
Gudmevej 37,Hesselager,5874,4,165,1967,8475000.0,05-08-2016
Violvej 7,Hesselager,5874,4,122,2006,3500000.0,10-07-2016
Møllevej 30,Hesselager,5874,3,122,2013,1000000.0,07-07-2016
Trappedal 9,Hesselager,5874,3,90,1727,1300000.0,07-07-2016
Åvænget 3,Hesselager,5874,6,153,1964,1000000.0,07-07-2016
Stentoften 27,Hesselager,5874,3,45,1969,700000.0,06-07-2016
Havnevej 26,Hesselager,5874,3,100,1960,348524.0,04-07-2016
Svinget 27,Hesselager,5874,5,162,1976,825000.0,30-06-2016
Gl. Landevej 8,Hesselager,5874,7,234,1930,1550000.0,24-06-2016
Åvænget 1,Hesselager,5874,5,140,1965,950000.0,22-06-2016
Stentoften 52,Hesselager,5874,6,118,1969,2300000.0,18-06-2016
Gl. Lundeborgvej 32,Hesselager,5874,4,139,2000,1850000.0,08-06-2016
Skovhusene 20,Hesselager,5874,7,215,1981,2195000.0,17-05-2016
Galdbjerg Kohavevej 8,Hesselager,5874,4,199,1910,1450000.0,04-04-2016
Skolevej 51,Hesselager,5874,7,290,1940,1620000.0,21-03-2016
Gartnervænget 4,Hesselager,5874,4,122,1969,737500.0,16-03-2016
Stentoften 9,Hesselager,5874,3,81,1994,1165000.0,03-03-2016
Gl. Landevej 9,Hesselager,5874,5,134,1889,455276.0,02-03-2016
Klintholm Strand 4,Hesselager,5874,4,130,1777,775000.0,04-02-2016
Gl. Landevej 3,Hesselager,5874,4,143,1890,375000.0,03-02-2016
Udsigten 18,Hesselager,5874,6,189,1903,195000.0,26-01-2016
Ladefogedvej 1,Hesselager,5874,6,162,1777,4670176.0,24-01-2016
Degnelodden 5,Hesselager,5874,9,255,1923,300000.0,21-01-2016
Gl. Lundeborgvej 5,Hesselager,5874,5,128,1928,700000.0,19-01-2016
Rosenvej 18,Hesselager,5874,6,179,1928,656000.0,14-01-2016
Gl. Landevej 2,Hesselager,5874,4,147,1910,250000.0,22-12-2015
Stubmarken 16,Hesselager,5874,4,81,1983,2200000.0,29-11-2015
Askebæk 11,Hesselager,5874,3,120,1800,1100000.0,20-11-2015
Fiskergade 16,Hesselager,5874,5,84,1959,1000000.0,04-11-2015
Bellisvej 17,Hesselager,5874,4,70,1988,935000.0,28-10-2015
Rygårdsvej 4,Hesselager,5874,7,203,1905,1150000.0,26-10-2015
Gl. Landevej 10B,Hesselager,5874,4,80,1927,80000.0,05-10-2015
Kløvertoften 12,Hesselager,5874,3,54,1975,800000.0,30-09-2015
Glorupvej 44,Hesselager,5874,3,117,1847,650000.0,29-09-2015
Bøsørevej 46A,Hesselager,5874,3,114,1825,705500.0,25-09-2015
Hesselagergårdsvej 38,Hesselager,5874,3,76,1957,1091000.0,25-09-2015
Stentoften 60,Hesselager,5874,4,51,1969,1133334.0,18-09-2015
Hesselagergårdsvej 4,Hesselager,5874,7,290,1827,575000.0,17-09-2015
Østergade 13,Hesselager,5874,3,80,1850,132052.0,10-09-2015
Genvejen 3,Hesselager,5874,3,70,1870,30000.0,10-09-2015
Bakken 10,Hesselager,5874,5,207,1827,650000.0,03-09-2015
Holmskov Strand 14,Hesselager,5874,3,60,1962,1550000.0,31-08-2015
Strandlyst Strand 3,Hesselager,5874,4,81,2007,1370289.0,25-08-2015
Løvvænget 6,Hesselager,5874,4,136,1974,1180000.0,24-08-2015
Buevej 11,Hesselager,5874,5,144,1963,900000.0,21-08-2015
Holmskov Strand 12,Hesselager,5874,4,59,1961,575000.0,01-08-2015
Irisvej 4,Hesselager,5874,3,80,1980,900000.0,16-07-2015
Kystvej 6,Hesselager,5874,6,104,1910,1800000.0,05-07-2015
Anemonevej 10,Hesselager,5874,3,50,1965,1200000.0,23-06-2015
Kløvertoften 21,Hesselager,5874,4,60,1972,1050000.0,16-06-2015
Kystvej 18,Hesselager,5874,5,122,1920,648500.0,03-06-2015
Byvejen 24,Hesselager,5874,4,108,1914,640000.0,03-06-2015
Liljevænget 5,Hesselager,5874,4,62,1978,1000000.0,22-05-2015
Holmskov Strand 24,Hesselager,5874,4,70,1962,2350000.0,08-05-2015
Langgade 13,Hesselager,5874,3,72,1902,425000.0,04-05-2015
Holmskov Strand 30,Hesselager,5874,3,55,1983,2050000.0,29-04-2015
Degnelodden 4,Hesselager,5874,6,111,1885,125000.0,07-04-2015
Knarreborg Møllevej 28,Hesselager,5874,11,280,1777,3990000.0,04-03-2015
Bellisvej 37,Hesselager,5874,5,137,2004,1365000.0,03-03-2015
Askebæk 9,Hesselager,5874,7,233,1864,1440000.0,11-02-2015
Purreskovvej 1,Hesselager,5874,10,157,1875,500000.0,29-01-2015
Bellisvej 50,Hesselager,5874,4,49,1970,412500.0,24-01-2015
Svendborg Landevej 47,Hesselager,5874,5,181,1979,1350000.0,19-01-2015
Svendborg Landevej 49,Hesselager,5874,5,150,1914,350000.0,08-01-2015
Trappedal 10,Hesselager,5874,4,139,1877,1300000.0,22-12-2014
Kalkvej 31,Hesselager,5874,3,77,1877,275000.0,15-12-2014
Hesselagergårdsvej 36,Hesselager,5874,4,116,1964,450000.0,10-12-2014
Skovvænget 34,Hesselager,5874,6,194,1971,769532.0,17-11-2014
Bellisvej 41,Hesselager,5874,5,130,1911,1020000.0,13-11-2014
Revsørevej 55,Hesselager,5874,9,170,1913,2250000.0,13-11-2014
Stubmarken 11,Hesselager,5874,4,90,1976,850000.0,09-11-2014
Stentoften 31,Hesselager,5874,4,69,1971,500000.0,30-10-2014
Bøsørevej 34,Hesselager,5874,1,33,1960,1100000.0,22-10-2014
Tingstedet 2,Hesselager,5874,5,126,1946,1095000.0,03-10-2014
Bøsørevej 46C,Hesselager,5874,2,34,1932,700000.0,19-09-2014
Kløvertoften 18,Hesselager,5874,3,60,1972,820000.0,11-09-2014
Gl. Lundeborgvej 28,Hesselager,5874,4,83,1956,1295000.0,04-09-2014
Purreskovvej 30,Hesselager,5874,4,124,1956,970000.0,29-08-2014
Langgade 9,Hesselager,5874,4,165,1900,550000.0,14-08-2014
Revsørevej 50,Hesselager,5874,7,158,1937,1650000.0,23-07-2014
Byvejen 30,Hesselager,5874,3,125,1910,700000.0,21-07-2014
Stentoften 18,Hesselager,5874,3,57,1980,795000.0,18-07-2014
Stokkebækvej 24,Hesselager,5874,3,51,1954,1332000.0,13-07-2014
Østergade 37,Hesselager,5874,4,107,1944,500000.0,17-06-2014
Tjørnevej 2,Hesselager,5874,7,213,1910,550000.0,12-06-2014
Havnevej 22,Hesselager,5874,6,180,1935,1900000.0,19-05-2014
Bøsørevej 15,Hesselager,5874,5,144,2013,1825000.0,05-05-2014
Holmskov Strand 28,Hesselager,5874,3,67,1965,2500000.0,04-05-2014
Svendborg Landevej 41A,Hesselager,5874,4,201,1979,1650000.0,27-03-2014
Bellisvej 34,Hesselager,5874,4,83,1970,680000.0,19-03-2014
Vormark Bygade 16,Hesselager,5874,4,159,1847,295000.0,20-02-2014
Niels Juelsvej 3,Hesselager,5874,5,123,1934,300000.0,13-02-2014
Knarreborg Møllevej 26,Hesselager,5874,5,157,2003,700000.0,12-02-2014
Bøsørevej 80,Hesselager,5874,4,136,1860,400000.0,29-01-2014
Tingstedet 8,Hesselager,5874,3,120,1980,800000.0,27-01-2014
Løvvænget 3,Hesselager,5874,5,160,1974,1600000.0,23-01-2014
Stubmarken 6,Hesselager,5874,3,121,1986,1402500.0,13-12-2013
Stokkebæk Strand 16,Hesselager,5874,2,76,1966,1500000.0,09-12-2013
Møllevænget 6,Hesselager,5874,4,122,1974,620000.0,16-11-2013
Vandværksvej 15,Hesselager,5874,6,133,1827,760000.0,03-10-2013
Skovhusene 13,Hesselager,5874,3,99,1900,1650000.0,01-10-2013
Askebæk 7,Hesselager,5874,4,160,1850,280000.0,06-09-2013
Vormark Bygade 36,Hesselager,5874,4,164,1877,606950.0,05-09-2013
Gartnervænget 67,Hesselager,5874,4,122,2010,2000000.0,03-09-2013
"Havnevej 24B, ST. TV",Hesselager,5874,5,113,1900,1050000.0,24-07-2013
Gl. Lundeborgvej 13,Hesselager,5874,9,280,1973,1700000.0,08-07-2013
Buevej 3,Hesselager,5874,5,110,1939,895000.0,18-06-2013
Gudmevej 22,Hesselager,5874,3,115,1947,525000.0,14-06-2013
Thingsagervej 9,Hesselager,5874,4,118,1968,995000.0,11-05-2013
Strandvænget 3,Hesselager,5874,4,54,1965,825000.0,25-02-2013
Skolevej 11,Hesselager,5874,3,137,1939,995000.0,21-01-2013
Buevej 7,Hesselager,5874,7,189,1960,1070000.0,22-12-2012
Gl. Lundeborgvej 17,Hesselager,5874,4,106,1967,1095000.0,10-12-2012
Klintholm Strand 13,Hesselager,5874,5,107,1927,1350000.0,30-11-2012
Gartnervænget 25A,Hesselager,5874,3,84,2001,500000.0,15-11-2012
Gartnervænget 25B,Hesselager,5874,3,84,2001,625000.0,23-10-2012
Bøsørevej 36,Hesselager,5874,1,40,2015,1500000.0,16-10-2012
Langgade 10,Hesselager,5874,4,96,1870,400000.0,11-10-2012
Langgade 41,Hesselager,5874,7,136,1925,263000.0,03-10-2012
Momleby 15,Hesselager,5874,5,104,1932,675000.0,03-10-2012
Skolevej 29,Hesselager,5874,5,134,1913,580500.0,25-09-2012
Østergade 9,Hesselager,5874,3,144,1887,412500.0,17-09-2012
Gartnervænget 27,Hesselager,5874,4,128,2004,1000000.0,17-09-2012
Stigbjergvej 4,Hesselager,5874,10,467,1976,1100000.0,31-07-2012
