street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Gl Skanderborgvej 139,Sporup,8472,3,91,1926,595000.0,30-04-2017
Keldbjergvej 12,Sporup,8472,4,156,1890,645746.0,25-04-2017
Silkeborgvej 107,Sporup,8472,4,133,1900,885000.0,22-12-2016
Toustrupvej 130,Sporup,8472,4,112,1989,800000.0,21-12-2016
Gl Skanderborgvej 65,Sporup,8472,8,222,1933,975000.0,13-12-2016
Sporup Kirkevej 2,Sporup,8472,4,115,1850,895000.0,01-11-2016
Damagervej 166,Sporup,8472,6,205,1925,600000.0,01-10-2016
Silkeborgvej 173,Sporup,8472,4,123,1930,700000.0,22-09-2016
Gl Skanderborgvej 100,Sporup,8472,6,207,1974,1000000.0,21-09-2016
Højagervej 1,Sporup,8472,7,170,2000,2081250.0,20-09-2016
Skørringvej 15,Sporup,8472,8,351,1914,150000.0,19-09-2016
Toustrup Stationsvej 25,Sporup,8472,4,129,1912,1980000.0,05-09-2016
Skolemestervej 5,Sporup,8472,4,121,1976,1050000.0,22-08-2016
Silkeborgvej 76,Sporup,8472,4,123,1950,1025000.0,14-07-2016
Sporuplundsvej 75,Sporup,8472,5,342,1860,9960000.0,14-07-2016
Svingelvej 70,Sporup,8472,7,262,1903,1700000.0,08-07-2016
Begtrupvej 69,Sporup,8472,5,218,1890,1875000.0,17-06-2016
Skytsbjergvej 5,Sporup,8472,6,137,1931,1125000.0,30-05-2016
Sporup Kirkevej 3,Sporup,8472,3,92,1932,475000.0,04-04-2016
Højagervej 13,Sporup,8472,5,166,2016,285000.0,27-11-2015
Lyngbyvej 75,Sporup,8472,5,137,1830,1290000.0,24-10-2015
Røgenvej 40,Sporup,8472,7,268,1884,16400000.0,28-08-2015
Lykkegårdsvej 299,Sporup,8472,7,432,1906,5000000.0,31-07-2015
Farre Hedevej 20,Sporup,8472,2,62,1900,445000.0,08-07-2015
Vandværksvej 6,Sporup,8472,2,72,1950,950000.0,02-07-2015
Silkeborgvej 182,Sporup,8472,4,150,1929,465000.0,11-06-2015
Vandværksvej 15,Sporup,8472,3,103,1950,1340000.0,03-06-2015
Skytsbjergvej 25,Sporup,8472,6,145,1940,400000.0,15-05-2015
Sporuplundsvej 30,Sporup,8472,7,252,1887,600000.0,19-03-2015
Højagervej 5,Sporup,8472,5,131,2000,733333.0,12-02-2015
Skolemestervej 2,Sporup,8472,8,196,1969,1050000.0,10-12-2014
Farre Hedevej 17,Sporup,8472,6,190,1966,1355000.0,28-11-2014
Gl Skanderborgvej 104,Sporup,8472,7,113,1897,625000.0,14-11-2014
Toustrup Stationsvej 36,Sporup,8472,7,161,1907,1535000.0,24-10-2014
Røgenvej 6,Sporup,8472,5,160,2015,66240.0,08-09-2014
Gl Skanderborgvej 134,Sporup,8472,3,83,1960,975000.0,29-08-2014
Lyngbyvej 83,Sporup,8472,5,202,1925,1450000.0,25-07-2014
Begtrupvej 40,Sporup,8472,9,247,1989,19470000.0,27-06-2014
Damagervej 164,Sporup,8472,4,195,1932,1900000.0,27-06-2014
Lykkegårdsvej 320,Sporup,8472,3,157,1907,216617.0,18-06-2014
Toustrup Stationsvej 38,Sporup,8472,6,218,1902,1440000.0,20-02-2014
Røgenvej 11,Sporup,8472,8,213,1998,1250000.0,20-01-2014
Gl Skanderborgvej 132A,Sporup,8472,4,95,1827,40974.0,01-12-2013
Skytsbjergvej 2,Sporup,8472,6,221,1902,880000.0,01-11-2013
Lykkegårdsvej 375,Sporup,8472,11,312,1897,19800000.0,10-07-2013
Sporup Kirkevej 40,Sporup,8472,4,168,1930,1450000.0,18-06-2013
Søgårdsvej 6,Sporup,8472,4,121,1967,930000.0,22-05-2013
Gl Silkeborgvej 8,Sporup,8472,4,163,1967,1040000.0,20-04-2013
Lykkegårdsvej 347,Sporup,8472,3,73,1955,200000.0,07-03-2013
Silkeborgvej 232,Sporup,8472,5,178,1900,1650000.0,07-02-2013
Gl Skanderborgvej 125,Sporup,8472,5,163,1900,998000.0,30-01-2013
Farre Hedevej 9,Sporup,8472,12,299,1904,2950000.0,20-01-2013
Farre Hedevej 16,Sporup,8472,4,176,1922,1720000.0,20-01-2013
Gl Skanderborgvej 127,Sporup,8472,5,188,1902,648000.0,02-11-2012
Toustrup Stationsvej 56,Sporup,8472,4,95,1941,735000.0,21-09-2012
Lykkegårdsvej 344,Sporup,8472,4,128,1960,605000.0,10-09-2012
Buen 3,Sporup,8472,4,112,1973,480000.0,22-08-2012
Silkeborgvej 188,Sporup,8472,4,146,1920,1350000.0,14-08-2012
Højagervej 19,Sporup,8472,8,210,2008,2450000.0,02-07-2012
Buen 4,Sporup,8472,4,96,1969,765000.0,27-06-2012
Vandværksvej 5,Sporup,8472,3,101,1917,450000.0,26-06-2012
Farrevej 111,Sporup,8472,6,188,1952,850000.0,08-06-2012
Sporup Kirkevej 35,Sporup,8472,5,120,1931,2724000.0,04-06-2012
Toustrup Stationsvej 35,Sporup,8472,5,172,1905,1025000.0,19-04-2012
Lykkegårdsvej 310,Sporup,8472,4,157,2016,480000.0,22-02-2012
Skørringvej 50,Sporup,8472,7,186,1986,2537330.0,22-02-2012
Gl Silkeborgvej 11,Sporup,8472,5,172,1986,1550000.0,10-02-2012
Silkeborgvej 170,Sporup,8472,6,272,1900,1000000.0,02-02-2012
Søgårdsvej 2,Sporup,8472,7,169,1947,1450000.0,25-09-2011
Gl Skanderborgvej 74,Sporup,8472,4,114,1900,925000.0,14-09-2011
Gl Skanderborgvej 64,Sporup,8472,7,188,1927,1055000.0,05-09-2011
Toustrup Stationsvej 55,Sporup,8472,7,277,1900,2910000.0,24-08-2011
Farre Hedevej 29,Sporup,8472,5,154,1946,2295000.0,04-08-2011
Skolemestervej 3,Sporup,8472,4,132,1977,1150000.0,13-07-2011
