street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Rendebjergvej 7,Harndrup,5463,5,124,1864,535500.0,04-04-2017
Skovvej 4,Harndrup,5463,3,120,1954,460000.0,30-03-2017
Billesbøllevej 4,Harndrup,5463,9,235,1921,1200000.0,06-02-2017
Ejbyvej 59,Harndrup,5463,4,93,1896,175000.0,19-12-2016
Jægersmindevej 25,Harndrup,5463,7,141,1845,675000.0,15-12-2016
Juelsmindevænget 6,Harndrup,5463,4,117,2008,1300000.0,13-12-2016
Ridderstien 4,Harndrup,5463,5,177,1900,346083.0,07-12-2016
Rugårdsvej 46,Harndrup,5463,4,165,1914,900000.0,30-11-2016
Hønnerupvej 93,Harndrup,5463,7,173,1800,1500000.0,31-10-2016
Fjellerupvej 9,Harndrup,5463,8,240,1961,1251963.0,25-10-2016
Billesbølle Mark 11,Harndrup,5463,6,212,1770,1960000.0,17-08-2016
Idrætsvej 5,Harndrup,5463,6,104,1964,715000.0,20-07-2016
Lundsgårdsvej 26,Harndrup,5463,7,200,1840,3280000.0,15-06-2016
Hjortebjergvej 37,Harndrup,5463,6,138,1935,85500.0,15-06-2016
Fjellerupvej 33,Harndrup,5463,4,129,1917,795000.0,14-06-2016
Vindebjergvej 15A,Harndrup,5463,2,92,1987,1200000.0,30-05-2016
Sletterødvej 20,Harndrup,5463,4,88,1915,75000.0,23-05-2016
Rugårdsvej 7,Harndrup,5463,5,115,1827,430000.0,11-05-2016
Jægersmindevej 19,Harndrup,5463,9,261,1934,775000.0,08-05-2016
Fjellerupvej 55,Harndrup,5463,5,131,1923,1200000.0,28-04-2016
Ridderstien 26,Harndrup,5463,3,95,1947,750000.0,06-04-2016
Vindebjergvej 60,Harndrup,5463,4,103,1975,750000.0,31-03-2016
Fjellerupvej 2,Harndrup,5463,7,172,1858,1468000.0,18-03-2016
Rendebjergvej 6,Harndrup,5463,8,239,1950,25000000.0,18-03-2016
Hjortebjergvænget 6,Harndrup,5463,7,214,2007,950000.0,10-03-2016
Fjellerupvej 37,Harndrup,5463,4,113,1902,300000.0,03-03-2016
Knabosholmvej 3,Harndrup,5463,8,143,1930,1100000.0,13-02-2016
Åvænget 29,Harndrup,5463,4,140,1975,970000.0,07-02-2016
Graderupvej 4,Harndrup,5463,4,190,1880,1950000.0,22-01-2016
Åvænget 35,Harndrup,5463,5,131,1979,640000.0,13-01-2016
Overgade 4,Harndrup,5463,7,197,1910,750000.0,07-01-2016
Juelsmindevej 26,Harndrup,5463,4,160,2007,1802650.0,05-01-2016
Fjellerupvej 43,Harndrup,5463,6,110,1877,96800.0,24-11-2015
Skovgårdvej 4,Harndrup,5463,5,165,1803,1615000.0,19-11-2015
Jægersmindevej 3,Harndrup,5463,4,80,1890,250000.0,10-11-2015
Altonavej 1,Harndrup,5463,8,152,1827,35000.0,28-10-2015
Lundsgårdsvej 18,Harndrup,5463,5,180,1900,740000.0,23-10-2015
Juelsmindevænget 5,Harndrup,5463,4,103,2007,1125000.0,21-10-2015
Nederballevej 38,Harndrup,5463,4,138,1997,1075000.0,17-09-2015
Jægersmindevej 26,Harndrup,5463,5,129,1961,1025000.0,28-08-2015
Sletterødvej 11,Harndrup,5463,4,100,1968,130000.0,04-08-2015
Broholmvej 26,Harndrup,5463,4,165,1892,1000000.0,17-07-2015
Vindebjergvej 36,Harndrup,5463,6,200,1936,1400000.0,26-06-2015
Rugårdsvej 61,Harndrup,5463,5,150,1897,750000.0,28-05-2015
Fjellerupvej 34,Harndrup,5463,4,140,1912,410000.0,23-05-2015
Berlin 28,Harndrup,5463,6,191,1827,775000.0,16-05-2015
Fjellerupvej 32,Harndrup,5463,7,198,1728,810000.0,30-03-2015
Vindebjergvej 20,Harndrup,5463,3,111,1958,1100000.0,28-03-2015
Sletterødvej 18,Harndrup,5463,6,110,1960,380000.0,19-03-2015
Åløkkevej 6,Harndrup,5463,5,198,1924,282407.0,03-03-2015
Stengade 35,Harndrup,5463,11,230,1910,1500000.0,12-02-2015
Rugårdsvej 25,Harndrup,5463,4,136,1912,298796.0,04-02-2015
Graderupvej 12,Harndrup,5463,3,110,1956,215000.0,07-01-2015
Ejbyvej 50,Harndrup,5463,5,119,1906,1150000.0,22-12-2014
Vindebjergvej 54,Harndrup,5463,5,137,1960,700000.0,05-12-2014
Nederballevej 13A,Harndrup,5463,7,176,1974,1700000.0,02-12-2014
Fjellerupvej 41,Harndrup,5463,5,141,1912,350000.0,03-10-2014
Juelsmindevej 25,Harndrup,5463,5,199,1953,673306.0,18-08-2014
Sletterødvej 4,Harndrup,5463,9,375,1827,836474.0,14-08-2014
Sletterødvej 24,Harndrup,5463,5,174,1991,762277.0,04-08-2014
Kildevej 2,Harndrup,5463,5,128,1972,493811.0,07-07-2014
Jægersmindevej 21,Harndrup,5463,3,90,1959,625000.0,23-06-2014
Ejbyvej 61,Harndrup,5463,5,122,1940,200000.0,19-06-2014
Stengade 18,Harndrup,5463,5,128,1928,435000.0,13-05-2014
Vindebjergvej 52,Harndrup,5463,4,131,1967,675000.0,23-04-2014
Idrætsvej 3,Harndrup,5463,5,144,1965,750000.0,27-03-2014
Stævnegårdsvej 2,Harndrup,5463,6,190,2016,480000.0,23-03-2014
Jægersmindevej 11,Harndrup,5463,6,150,1897,1140000.0,10-03-2014
Rugårdsvej 99,Harndrup,5463,5,154,1827,317606.0,24-02-2014
Fjellerup Mark 16,Harndrup,5463,6,186,1920,1525000.0,22-02-2014
Hjortebjergvænget 4,Harndrup,5463,5,137,1972,595000.0,19-02-2014
Nederballevænget 13,Harndrup,5463,7,132,1980,588500.0,31-12-2013
Lundsgårdsvej 21,Harndrup,5463,8,218,1790,1200000.0,21-11-2013
Nederballevej 6,Harndrup,5463,4,109,2014,625000.0,01-11-2013
Harndrup Skov 33,Harndrup,5463,4,100,1877,1150000.0,22-10-2013
Rugårdsvej 50,Harndrup,5463,4,153,2014,300000.0,18-10-2013
Harndrup Skov 1,Harndrup,5463,5,83,1800,25000.0,03-10-2013
Nederballevej 15,Harndrup,5463,2,60,1783,200000.0,20-08-2013
Åkrogen 12,Harndrup,5463,5,132,1983,1050000.0,16-07-2013
Hjortebjergvænget 3,Harndrup,5463,6,174,1920,995000.0,14-07-2013
Fjellerupvej 35,Harndrup,5463,8,283,1927,102500.0,13-06-2013
Ridderstien 14,Harndrup,5463,3,98,1960,230000.0,14-05-2013
Trydenvej 9,Harndrup,5463,8,202,1877,1350000.0,07-05-2013
Kærvej 7,Harndrup,5463,4,153,1945,1100000.0,25-04-2013
Berlin 1,Harndrup,5463,8,220,1902,1750000.0,16-04-2013
Stengade 13,Harndrup,5463,6,182,1918,1745000.0,22-03-2013
