street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Surmosevej 9,Barrit,7150,4,72,1932,300000.0,28-04-2017
Barrit Langgade 153,Barrit,7150,5,165,1943,455000.0,01-04-2017
Bagervænget 16,Barrit,7150,6,206,1964,698000.0,20-03-2017
Barrit Langgade 74,Barrit,7150,4,114,1900,545000.0,17-02-2017
Barrit Langgade 31,Barrit,7150,3,96,1961,382000.0,26-01-2017
Vævergade 25,Barrit,7150,3,130,1877,870000.0,21-01-2017
Vangevej 25,Barrit,7150,6,166,1971,689000.0,16-01-2017
Serupsvej 1,Barrit,7150,5,154,1750,825200.0,04-01-2017
Fennen 19,Barrit,7150,5,125,1985,895000.0,10-12-2016
Vævergade 28,Barrit,7150,6,160,1972,1000000.0,18-11-2016
Barrit Langgade 33,Barrit,7150,3,75,1956,155000.0,16-11-2016
Bakkesvinget 6,Barrit,7150,5,156,1971,935000.0,23-10-2016
Mikkelbro 8,Barrit,7150,6,137,1998,644000.0,04-10-2016
Randvej 10,Barrit,7150,6,174,1877,1318400.0,26-07-2016
Bakkesvinget 5,Barrit,7150,4,128,1975,600000.0,15-06-2016
Barrit Langgade 189,Barrit,7150,4,98,1937,1150000.0,27-05-2016
Bagervænget 3,Barrit,7150,3,85,1967,760000.0,20-05-2016
Barrit Langgade 155,Barrit,7150,7,191,1969,600000.0,13-05-2016
Sigurd Stenhøj Vej 4,Barrit,7150,6,230,1965,800000.0,14-04-2016
Nørløkkevej 1,Barrit,7150,6,170,1912,1350000.0,30-03-2016
Vangevej 24,Barrit,7150,7,207,1971,1400000.0,01-03-2016
Randvej 12,Barrit,7150,7,170,1815,9250000.0,01-03-2016
Høkervej 10,Barrit,7150,4,123,1925,865000.0,16-12-2015
Serupsvej 6,Barrit,7150,6,150,1850,300000.0,01-12-2015
Barrit Stationsvej 1,Barrit,7150,5,197,1909,484200.0,20-11-2015
Barrit Langgade 140,Barrit,7150,6,170,1972,1025000.0,29-10-2015
Randvej 7,Barrit,7150,3,104,1835,1150000.0,22-09-2015
Serupsvej 15,Barrit,7150,5,200,1975,1509000.0,13-09-2015
Barrit Langgade 122,Barrit,7150,4,108,1962,350000.0,03-09-2015
Barrit Langgade 72,Barrit,7150,5,105,1965,750000.0,30-08-2015
Brethvej 9,Barrit,7150,4,143,1920,412000.0,07-08-2015
Barrit Langgade 199,Barrit,7150,4,125,1984,467500.0,03-08-2015
Randvej 23,Barrit,7150,7,254,1914,1500000.0,26-06-2015
Serupsvej 16,Barrit,7150,5,170,1850,1600000.0,11-06-2015
Vævergade 34,Barrit,7150,4,105,1950,415000.0,04-06-2015
Vangevej 22,Barrit,7150,5,176,1975,1200000.0,28-05-2015
Serupsvej 2,Barrit,7150,4,115,1960,820000.0,24-04-2015
Serupsvej 25,Barrit,7150,4,166,1972,875000.0,09-04-2015
Barrit Langgade 144,Barrit,7150,4,93,1949,480000.0,14-03-2015
Staksrodevej 2,Barrit,7150,6,108,1926,19450000.0,12-03-2015
Skulsballevej 2,Barrit,7150,4,138,1870,1700000.0,26-02-2015
Barrit Langgade 41,Barrit,7150,5,120,1930,620000.0,13-02-2015
Barrit Langgade 114,Barrit,7150,5,120,1974,1400000.0,02-02-2015
Barrit Langgade 59B,Barrit,7150,4,115,1982,575000.0,30-01-2015
Barrit Langgade 99,Barrit,7150,4,97,1952,770000.0,19-12-2014
Barrit Stationsvej 8,Barrit,7150,3,119,1938,500000.0,16-12-2014
Staksrodevej 13B,Barrit,7150,4,182,1863,535000.0,12-12-2014
Barrit Langgade 64,Barrit,7150,4,132,1960,585000.0,09-12-2014
Skerrildgårdvej 9,Barrit,7150,8,236,1990,1400000.0,01-12-2014
Dynnesvej 21,Barrit,7150,4,120,1976,620000.0,19-11-2014
Brethvej 8,Barrit,7150,4,104,1897,1237500.0,03-10-2014
Kirkebro 5,Barrit,7150,5,112,1959,685000.0,15-08-2014
Bagervænget 11,Barrit,7150,4,115,1965,760000.0,26-05-2014
Vejlevej 58,Barrit,7150,4,90,1954,1000000.0,21-05-2014
Barrit Langgade 135,Barrit,7150,4,102,1962,500000.0,27-04-2014
Brølbæk 15,Barrit,7150,4,126,1953,300000.0,11-04-2014
Høkervej 1B,Barrit,7150,6,145,1996,1512000.0,24-03-2014
Bagervænget 19,Barrit,7150,4,125,1965,699000.0,27-02-2014
Barrit Langgade 11,Barrit,7150,5,130,1968,350000.0,14-02-2014
Barrit Langgade 4,Barrit,7150,5,166,1974,1675000.0,28-01-2014
Barrit Langgade 78,Barrit,7150,5,235,1897,1050000.0,09-01-2014
Barrit Langgade 63,Barrit,7150,7,212,1885,1100000.0,13-12-2013
Dynnesvej 23,Barrit,7150,5,156,1976,700000.0,04-12-2013
Vangevej 20,Barrit,7150,6,200,2010,514890.0,06-11-2013
Overmarksvej 2,Barrit,7150,6,190,1875,950000.0,10-10-2013
Vangevej 9,Barrit,7150,6,176,1971,900000.0,23-09-2013
Barrit Langgade 158,Barrit,7150,6,239,1898,1250000.0,19-09-2013
Gramtangevej 17,Barrit,7150,4,162,1981,1350000.0,04-09-2013
Barrit Langgade 195,Barrit,7150,5,120,1951,450000.0,22-08-2013
Barrit Stationsvej 7,Barrit,7150,3,83,1960,650000.0,06-08-2013
Barrit Langgade 103,Barrit,7150,6,261,2007,375180.0,07-07-2013
Barrit Langgade 187,Barrit,7150,8,170,1877,925000.0,19-06-2013
Brølbæk 19,Barrit,7150,5,90,1957,735000.0,14-06-2013
Surmosevej 23,Barrit,7150,6,123,1877,1575000.0,07-06-2013
Vævergade 32,Barrit,7150,4,112,1942,500000.0,23-05-2013
Vævergade 11,Barrit,7150,3,83,1850,160000.0,07-12-2012
Barrit Langgade 62,Barrit,7150,3,108,1950,595000.0,30-11-2012
Randvej 3,Barrit,7150,5,208,1941,1091109.0,12-10-2012
Surmosevej 7,Barrit,7150,4,161,1977,1422500.0,15-09-2012
Dynnesvej 1,Barrit,7150,5,168,1980,1025000.0,25-07-2012
Blæsbjergvej 1,Barrit,7150,6,158,1892,470000.0,29-06-2012
Barrit Langgade 44,Barrit,7150,4,133,1956,624000.0,29-05-2012
Staksrodevej 17C,Barrit,7150,4,140,2014,300000.0,25-05-2012
Barrit Langgade 115,Barrit,7150,4,110,1912,5479000.0,16-05-2012
Brølbæk 1B,Barrit,7150,6,216,1910,500000.0,20-04-2012
Barrit Hulevej 4,Barrit,7150,3,102,1962,625000.0,28-02-2012
Vangevej 10,Barrit,7150,6,165,1969,500000.0,21-02-2012
Barrit Langgade 80,Barrit,7150,7,104,1964,2000000.0,10-02-2012
Gramtangevej 4,Barrit,7150,4,110,1995,900000.0,21-12-2011
Serupsvej 17,Barrit,7150,8,217,1877,1900000.0,07-12-2011
Bagervænget 14,Barrit,7150,4,136,1964,1025000.0,18-11-2011
Barrit Langgade 132,Barrit,7150,4,93,1959,630000.0,20-10-2011
Vangevej 16,Barrit,7150,5,163,1973,1000000.0,14-09-2011
Korsbækdal 1,Barrit,7150,6,190,2001,1565000.0,13-09-2011
Barrit Langgade 7,Barrit,7150,4,113,1963,700000.0,14-07-2011
Lhombrevej 2,Barrit,7150,4,80,1777,870000.0,01-06-2011
Vangevej 28,Barrit,7150,3,128,1969,695000.0,26-05-2011
Barrit Langgade 70,Barrit,7150,3,152,1877,780000.0,14-04-2011
Barrit Stationsvej 4,Barrit,7150,8,276,1908,650000.0,24-02-2011
Brølbæk 1A,Barrit,7150,4,133,1910,180000.0,18-02-2011
Vangevej 26,Barrit,7150,6,142,1972,1090000.0,03-02-2011
Dynnesvej 17,Barrit,7150,4,112,1978,710000.0,04-01-2011
Barrit Langgade 110,Barrit,7150,4,176,1962,930000.0,14-12-2010
Bagervænget 5,Barrit,7150,3,96,1966,775000.0,08-12-2010
Serupsvej 14,Barrit,7150,3,73,1850,575000.0,25-11-2010
Brethvej 6,Barrit,7150,6,120,1965,685000.0,29-10-2010
Staksrodevej 41,Barrit,7150,6,142,1900,1070000.0,27-09-2010
Barrit Langgade 87,Barrit,7150,3,69,1877,513000.0,21-09-2010
Vævergade 36,Barrit,7150,4,134,1963,950000.0,15-09-2010
Barrit Langgade 185,Barrit,7150,4,114,1946,455128.0,09-09-2010
Bagervænget 17,Barrit,7150,4,119,1965,875000.0,09-07-2010
Barrit Langgade 18,Barrit,7150,6,178,1918,544554.0,24-06-2010
Surmosevej 3B,Barrit,7150,5,246,1877,1500000.0,15-04-2010
Barrit Langgade 85,Barrit,7150,4,105,1920,420000.0,25-03-2010
Bakkesvinget 40,Barrit,7150,6,162,1975,1345000.0,20-03-2010
Overmarksvej 1,Barrit,7150,5,140,1877,395000.0,12-03-2010
Vævergade 5,Barrit,7150,4,86,1877,650000.0,12-02-2010
Gramtangevej 1,Barrit,7150,6,162,1900,1545000.0,07-02-2010
Brethvej 11,Barrit,7150,6,150,1890,1125000.0,23-01-2010
Overmarksvej 3,Barrit,7150,5,147,1900,1475000.0,14-01-2010
Barrit Langgade 186,Barrit,7150,8,177,1941,450000.0,18-11-2009
Skerrildgårdvej 5,Barrit,7150,9,263,1877,1840000.0,16-11-2009
Nørløkkevej 2,Barrit,7150,4,110,1961,825000.0,24-09-2009
Vævergade 18,Barrit,7150,7,199,1976,1495000.0,14-09-2009
Barrit Langgade 131,Barrit,7150,8,233,1927,2098000.0,08-09-2009
Brølbæk 10,Barrit,7150,4,131,1960,700000.0,03-08-2009
Vangevej 7,Barrit,7150,4,96,1966,795000.0,23-07-2009
Vangevej 15,Barrit,7150,4,119,1970,700000.0,10-07-2009
Barrit Langgade 6,Barrit,7150,5,167,1960,1145000.0,29-06-2009
Vævergade 21,Barrit,7150,4,152,1964,80000.0,22-06-2009
Vævergade 19,Barrit,7150,6,212,1943,610000.0,19-06-2009
Brethvej 1,Barrit,7150,6,398,1900,950000.0,28-05-2009
Blæsbjergvej 7,Barrit,7150,6,180,1910,1800000.0,18-05-2009
Kirkebro 4,Barrit,7150,4,86,1916,530000.0,14-05-2009
Lykkevej 1,Barrit,7150,4,144,1887,450000.0,04-05-2009
Barrit Langgade 164,Barrit,7150,4,100,1960,1098000.0,26-04-2009
Barrit Langgade 145,Barrit,7150,5,139,1941,810000.0,17-04-2009
Skulsballevej 6,Barrit,7150,4,167,1901,10600000.0,20-01-2009
Staksrodevej 43,Barrit,7150,4,123,1850,1350000.0,28-12-2008
Brethvej 2,Barrit,7150,3,67,1956,355000.0,13-10-2008
Vævergade 14,Barrit,7150,4,112,1973,695000.0,03-10-2008
Barrit Langgade 1,Barrit,7150,6,210,1909,2200000.0,12-09-2008
Brethvej 7,Barrit,7150,5,190,1849,884835.0,21-08-2008
Brethvej 12,Barrit,7150,4,84,1825,1095000.0,12-08-2008
Serupsvej 5,Barrit,7150,5,170,1913,960000.0,04-07-2008
Randvej 1,Barrit,7150,6,135,1858,7000000.0,02-07-2008
Smedskærlund 20,Barrit,7150,6,143,1890,2250000.0,30-06-2008
Fennen 16,Barrit,7150,4,116,1977,1345000.0,04-06-2008
Korsbækdal 4,Barrit,7150,6,163,1867,1395000.0,27-05-2008
Barrit Langgade 9,Barrit,7150,6,150,1964,1185000.0,20-05-2008
Blæsbjergvej 17,Barrit,7150,7,176,1888,198231.0,02-05-2008
Vejlevej 47,Barrit,7150,9,170,1965,231423.0,02-05-2008
Vejlevej 54,Barrit,7150,6,206,1872,85000.0,02-05-2008
Smedskærlund 26,Barrit,7150,5,185,1972,3130000.0,17-04-2008
Vævergade 8,Barrit,7150,8,345,1939,1170000.0,10-03-2008
Vævergade 10A,Barrit,7150,5,148,2011,240000.0,20-02-2008
Barrit Langgade 65,Barrit,7150,7,200,1880,807815.0,04-02-2008
Barrit Langgade 66,Barrit,7150,3,110,1962,1050000.0,19-01-2008
Randvej 17,Barrit,7150,3,120,1970,1200000.0,17-01-2008
Korsbækdal 10,Barrit,7150,3,55,1867,416500.0,04-12-2007
Barrit Langgade 32,Barrit,7150,4,172,1877,1800000.0,25-10-2007
Skerrildgårdvej 4,Barrit,7150,4,121,1987,600000.0,25-10-2007
Vævergade 20,Barrit,7150,5,166,1950,1750000.0,24-10-2007
Høkervænget 6,Barrit,7150,6,160,2008,340000.0,03-10-2007
Blæsbjergvej 11,Barrit,7150,4,147,1934,1895000.0,19-09-2007
Randvej 15,Barrit,7150,3,60,1954,995000.0,17-09-2007
Høkervej 16,Barrit,7150,4,110,1949,1150000.0,29-08-2007
Vejlevej 52,Barrit,7150,3,84,1850,1327000.0,23-07-2007
Serupsvej 13,Barrit,7150,5,130,1931,1095000.0,03-07-2007
Barrit Langgade 175,Barrit,7150,7,176,1915,1550000.0,15-06-2007
Barrit Langgade 124,Barrit,7150,4,93,1959,1035000.0,11-06-2007
Barrit Langgade 146,Barrit,7150,4,111,1948,547185.0,01-06-2007
Barrit Langgade 142,Barrit,7150,4,102,1950,1250000.0,29-05-2007
Barrit Langgade 84,Barrit,7150,6,220,1870,698460.0,18-05-2007
Barrit Langgade 90,Barrit,7150,8,234,2009,200000.0,14-05-2007
Skulsballevej 4,Barrit,7150,7,275,1847,2885000.0,30-04-2007
Brethvej 4,Barrit,7150,3,111,1910,1050000.0,27-04-2007
Barrit Langgade 57,Barrit,7150,4,150,1900,1095000.0,23-04-2007
Geert Strandvej 5,Barrit,7150,4,89,1777,3400000.0,03-04-2007
