street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Højlandsvangen 83,Brønshøj,2700,4,82,1936,4495000.0,22-05-2017
"Præstekærvej 11, 2. TV",Brønshøj,2700,1,89,1959,2275000.0,16-05-2017
"Ærtevej 15, 1. 1",Brønshøj,2700,2,56,1935,1585000.0,15-05-2017
"Storegårdsvej 4, 1. 13",Brønshøj,2700,3,88,2002,2175000.0,11-05-2017
"Svenskelejren 4, ST. TV",Brønshøj,2700,2,55,1937,1395000.0,05-05-2017
"Svenskelejren 14, ST. 4",Brønshøj,2700,1,51,1968,1265000.0,03-05-2017
"Nordfeldvej 18, ST. TH",Brønshøj,2700,2,54,1935,1760000.0,02-05-2017
"Brønshøjvej 15C, 2. TV",Brønshøj,2700,3,67,1933,925000.0,02-05-2017
"Brønshøjvej 81, 1. TV",Brønshøj,2700,2,54,1934,1075000.0,01-05-2017
Uggerløsevej 3,Brønshøj,2700,4,148,1979,6250000.0,28-04-2017
Hf. Brønshøjholm 1,Brønshøj,2700,2,60,1930,1700000.0,28-04-2017
"Elmelundevej 26, 1. TH",Brønshøj,2700,2,62,1933,1200000.0,27-04-2017
"Svenskelejren 11, 3. TH",Brønshøj,2700,2,56,1933,1795000.0,27-04-2017
"Frederikssundsvej 346, 4. 401",Brønshøj,2700,1,36,1969,435000.0,26-04-2017
"Fjenneslevvej 24, 2. TV",Brønshøj,2700,2,58,1935,1490000.0,25-04-2017
"Præstekærvej 22, 4. TH",Brønshøj,2700,3,77,1959,1895000.0,24-04-2017
"Kabbelejevej 9, ST. TV",Brønshøj,2700,1,39,1938,965000.0,24-04-2017
"Frederikssundsvej 154A, 4. TH",Brønshøj,2700,2,72,1933,1820000.0,24-04-2017
Dyblandsvangen 20,Brønshøj,2700,3,140,1916,4700000.0,20-04-2017
"Fjenneslevvej 26, ST",Brønshøj,2700,4,92,1934,3025000.0,19-04-2017
Bjernedevej 17,Brønshøj,2700,3,86,1956,1100000.0,18-04-2017
Vindingevej 27,Brønshøj,2700,6,183,1934,5495000.0,16-04-2017
Bakkekammen 22,Brønshøj,2700,5,125,1986,4375000.0,12-04-2017
"Ærtebjergvej 1, 1. TV",Brønshøj,2700,3,71,1952,1850000.0,11-04-2017
"Håbets Allé 7, 4. TH",Brønshøj,2700,2,69,1936,1695000.0,11-04-2017
Irisvej 2,Brønshøj,2700,6,123,1954,4125000.0,10-04-2017
"Brønshøjvej 63, 1. TH",Brønshøj,2700,2,57,1934,1560000.0,10-04-2017
"Brønshøjvej 69, ST. TV",Brønshøj,2700,2,55,1934,1062500.0,10-04-2017
"Frederikssundsvej 346, 4. 415",Brønshøj,2700,1,35,1969,430000.0,10-04-2017
Enigheds Allé 26,Brønshøj,2700,4,96,1900,2050000.0,07-04-2017
Brunevang 4,Brønshøj,2700,5,120,1953,2100000.0,06-04-2017
Tersløsevej 4,Brønshøj,2700,5,108,1936,2900000.0,04-04-2017
Risbyholmvej 23,Brønshøj,2700,6,154,1933,2175000.0,03-04-2017
"Frederikssundsvej 408, ST. TV",Brønshøj,2700,3,70,1954,1695000.0,03-04-2017
Arnesvej 8A,Brønshøj,2700,3,84,1900,2400000.0,02-04-2017
"Frederikssundsvej 388, 2. TV",Brønshøj,2700,3,63,1954,714000.0,01-04-2017
"Degnemose Allé 11, 1. TV",Brønshøj,2700,2,56,1937,1550000.0,31-03-2017
"Frederikssundsvej 194, 3. 1",Brønshøj,2700,2,69,1962,1745000.0,30-03-2017
