street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"Oscar Pettifords Vej 11, 1. TH",København SV,2450,4,103,2006,2059750.0,08-05-2017
"Rossinisvej 10, 1. TH",København SV,2450,2,50,1940,660000.0,04-05-2017
"Richard Boones Vej 8, 4. TV",København SV,2450,3,105,2009,4495000.0,02-05-2017
"Johan Kellers Vej 30, 3. TH",København SV,2450,2,59,1936,850000.0,01-05-2017
"Ellebjergvej 15, 1. TH",København SV,2450,2,54,1939,1050000.0,01-05-2017
"Wagnersvej 10, ST. TH",København SV,2450,4,96,1931,3670000.0,28-04-2017
"Wagnersvej 10, ST. TV",København SV,2450,3,78,1931,2955010.0,28-04-2017
"Ellebjergvej 13, 1. TH",København SV,2450,2,52,1939,1725000.0,28-04-2017
"A.C. Meyers Vænge 13A, 2",København SV,2450,4,114,2008,4150000.0,27-04-2017
"Sjælør Boulevard 32, ST. TH",København SV,2450,2,47,1936,1525000.0,27-04-2017
"Dexter Gordons Vej 11, 2. 6",København SV,2450,4,122,2007,4400000.0,27-04-2017
"Tartinisvej 30, 3. 2",København SV,2450,2,56,1944,1450000.0,26-04-2017
"Oscar Pettifords Vej 23, 3. TV",København SV,2450,3,112,2008,5540000.0,25-04-2017
"Wagnersvej 6, ST. TH",København SV,2450,3,76,1932,3311500.0,25-04-2017
"Ellebjergvej 19, ST. MF",København SV,2450,2,44,1939,1410000.0,25-04-2017
"Mozartsvej 28, 1. TV",København SV,2450,2,47,1936,1750000.0,25-04-2017
"Ellebjergvej 17, ST. MF",København SV,2450,2,44,1939,340000.0,21-04-2017
"Beethovensvej 9, 2. TH",København SV,2450,3,65,1932,2160000.0,21-04-2017
"Händelsvej 30, ST. TV",København SV,2450,2,53,1939,935000.0,16-04-2017
"Offenbachsvej 24, 1. MF",København SV,2450,2,48,1937,1699000.0,11-04-2017
"Johan Kellers Vej 51, 3. TV",København SV,2450,2,59,1936,1760000.0,11-04-2017
"Johan Kellers Vej 37, 3. TH",København SV,2450,2,59,1936,1798000.0,07-04-2017
"Teglholmsgade 70, 5. TV",København SV,2450,3,101,2014,4050000.0,06-04-2017
Ben Websters Vej 16,København SV,2450,3,122,2006,4300000.0,05-04-2017
"Johan Kellers Vej 53, 4. TH",København SV,2450,2,56,1936,1925000.0,05-04-2017
"Peter Holms Vej 23, 3. TV",København SV,2450,3,103,2007,2040000.0,29-03-2017
"Rossinisvej 6, 2. MF",København SV,2450,1,34,1940,1050000.0,29-03-2017
"Ernie Wilkins Vej 27, ST. TV",København SV,2450,3,94,2006,3650000.0,29-03-2017
"Wagnersvej 8, 2. TH",København SV,2450,3,78,1932,2850000.0,28-03-2017
"Teglholm Tværvej 27, 3. TH",København SV,2450,2,69,2004,2695000.0,28-03-2017
"Mozartsvej 24, ST. TV",København SV,2450,4,72,1937,1050000.0,27-03-2017
"Teglholm Tværvej 15, 1. TV",København SV,2450,3,85,2004,3149000.0,26-03-2017
"Kenny Drews Vej 63, 3. TV",København SV,2450,3,97,2008,3985000.0,26-03-2017
"Ellebjergvej 17, ST. TV",København SV,2450,2,54,1939,1665000.0,25-03-2017
"Johan Kellers Vej 34, 3. TV",København SV,2450,2,59,1936,1777000.0,24-03-2017
"Ben Websters Vej 12, ST. TV",København SV,2450,2,68,2006,2300000.0,23-03-2017
"Oscar Pettifords Vej 27, 8. TV",København SV,2450,3,112,2008,5425000.0,22-03-2017
"Händelsvej 12, 1. TV",København SV,2450,2,53,1939,770000.0,22-03-2017
"Johan Kellers Vej 38, 4. TH",København SV,2450,2,59,1936,892500.0,22-03-2017
"Richard Boones Vej 8, 3. TV",København SV,2450,3,104,2009,4350000.0,17-03-2017
"A.C. Meyers Vænge 13C, 5. TV",København SV,2450,3,95,2008,4075000.0,16-03-2017
Ben Websters Vej 120,København SV,2450,3,80,2006,2900000.0,15-03-2017
"Händelsvej 32, 2. TV",København SV,2450,2,53,1939,645237.0,14-03-2017
"Teglholm Tværvej 33, 4. 4",København SV,2450,2,75,2007,2742500.0,14-03-2017
"A.C. Meyers Vænge 11A, 1. TH",København SV,2450,3,89,2008,3396000.0,10-03-2017
"Offenbachsvej 25, 3",København SV,2450,4,101,1936,3595000.0,09-03-2017
"Johan Kellers Vej 63, ST. TH",København SV,2450,3,70,1936,2295000.0,09-03-2017
"Ellebjergvej 7, ST. TH",København SV,2450,2,52,1939,910000.0,09-03-2017
"Frederikskaj 2K, 1. TH",København SV,2450,3,95,2016,3950000.0,09-03-2017
"Dexter Gordons Vej 63, 3. TV",København SV,2450,4,112,2009,4550000.0,08-03-2017
"Frederikskaj 2E, 1. TH",København SV,2450,4,111,2016,3995000.0,08-03-2017
"Johan Kellers Vej 39, 4. TV",København SV,2450,2,59,1936,1895000.0,07-03-2017
"Offenbachsvej 32, ST. TV",København SV,2450,2,50,1937,1600000.0,07-03-2017
Ben Websters Vej 134,København SV,2450,3,78,2006,3325000.0,06-03-2017
"Frederikskaj 2D, 1. TH",København SV,2450,3,112,2016,3975000.0,06-03-2017
"Stradellasvej 34, 3. 1",København SV,2450,2,51,1944,1450000.0,03-03-2017
"Teglholm Tværvej 7, 4. TV",København SV,2450,3,85,2004,2050000.0,01-03-2017
"Rossinisvej 8, 1. TH",København SV,2450,2,50,1940,1645000.0,01-03-2017
"Beethovensvej 13, 1. TV",København SV,2450,3,71,1932,2175000.0,01-03-2017
"Alliancevej 33, 4. TH",København SV,2450,4,114,2017,2933746.0,01-03-2017
"Alliancevej 33, 2. TH",København SV,2450,4,114,2017,2933746.0,01-03-2017
"Richard Boones Vej 8, 2. TV",København SV,2450,3,105,2009,4290000.0,01-03-2017
"Alliancevej 33, 5. TV",København SV,2450,3,102,2017,2624930.0,01-03-2017
"Alliancevej 33, 1",København SV,2450,4,117,2017,3010949.0,01-03-2017
