street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Munkegårdsvej 25B,Kvistgård,3490,3,96,1971,1550000.0,20-04-2017
Smedebakken 23,Kvistgård,3490,5,157,1870,2595000.0,19-04-2017
Helsingørsvej 59,Kvistgård,3490,6,211,1900,4000000.0,24-03-2017
Munkesøvej 14,Kvistgård,3490,6,120,1952,1900000.0,22-03-2017
Lergravsvej 13E,Kvistgård,3490,4,108,2008,2100000.0,20-03-2017
Engen 6,Kvistgård,3490,4,102,1966,2150000.0,27-02-2017
Ravnebakkevej 6,Kvistgård,3490,6,401,1900,15900000.0,13-02-2017
Lindevangen 15,Kvistgård,3490,5,134,1973,1166000.0,07-02-2017
Lindevangen 21,Kvistgård,3490,5,100,1959,1800000.0,18-01-2017
Ørsholtvej 4,Kvistgård,3490,5,121,1954,2275000.0,13-01-2017
Krogenbergvej 7,Kvistgård,3490,6,104,1960,933401.0,02-01-2017
Krogenbergvej 9,Kvistgård,3490,3,187,1877,1247632.0,02-01-2017
Krogenbergvej 8A,Kvistgård,3490,5,116,1870,2480000.0,06-12-2016
Hornbækvej 178,Kvistgård,3490,5,198,1920,1750000.0,21-11-2016
Vandværksvej 50,Kvistgård,3490,4,114,2009,1025000.0,15-11-2016
Hovedgårdsvej 14,Kvistgård,3490,5,125,1965,1610000.0,20-09-2016
Gurrevej 374,Kvistgård,3490,4,111,1852,786750.0,05-09-2016
Munkegårdsvej 53,Kvistgård,3490,6,181,1932,3295000.0,28-07-2016
Munkegårdsvej 15A,Kvistgård,3490,5,116,1920,1800000.0,16-06-2016
Smedebakken 25,Kvistgård,3490,4,55,1900,1696000.0,15-06-2016
Kongevejen 294,Kvistgård,3490,3,70,1958,1130000.0,29-04-2016
Lergravsvej 14D,Kvistgård,3490,4,108,2008,2200000.0,01-02-2016
Gurrevej 378,Kvistgård,3490,5,164,1840,2350000.0,29-01-2016
Lergravsvej 11H,Kvistgård,3490,4,108,2008,2000000.0,22-01-2016
Ørsholtvej 8,Kvistgård,3490,7,182,1961,2400000.0,15-01-2016
