street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Stenbankevej 10,Stenstrup,5771,6,280,2008,1321500.0,12-04-2017
Assensvej 271,Stenstrup,5771,5,105,1900,66666.0,31-03-2017
Hundstrupvej 72,Stenstrup,5771,6,181,1827,650000.0,30-03-2017
Lundevej 2,Stenstrup,5771,6,317,1857,5196000.0,17-03-2017
Hundtofte 28,Stenstrup,5771,5,143,1800,8000000.0,15-03-2017
Pilegårdsvej 34,Stenstrup,5771,4,174,1954,6460000.0,05-03-2017
Løgeskov 500,Stenstrup,5771,2,146,1983,50000.0,17-02-2017
Løgeskov 80,Stenstrup,5771,4,94,1952,245500.0,16-02-2017
Elmevænget 6,Stenstrup,5771,4,86,1965,450000.0,12-02-2017
Kildevej 7,Stenstrup,5771,5,176,1911,940000.0,07-02-2017
Kirkeby Sand 16,Stenstrup,5771,5,138,1907,947000.0,05-02-2017
Bøgevænget 21,Stenstrup,5771,5,130,1977,350000.0,30-01-2017
Gemalvej 21A,Stenstrup,5771,4,140,1918,616345.0,26-01-2017
Stationsvej 59,Stenstrup,5771,5,181,1948,1915000.0,22-01-2017
Stationsvej 42,Stenstrup,5771,5,103,1936,420000.0,12-01-2017
Højevej 23,Stenstrup,5771,5,162,1728,3340500.0,18-12-2016
Assensvej 223,Stenstrup,5771,2,56,1800,55000.0,29-11-2016
Lindevej 7,Stenstrup,5771,6,145,1966,1150000.0,28-11-2016
Assensvej 134,Stenstrup,5771,5,199,1910,1045000.0,22-11-2016
Bobjergvej 13,Stenstrup,5771,3,113,1952,335000.0,18-11-2016
Assensvej 40,Stenstrup,5771,4,123,1901,1425000.0,10-11-2016
Løgeskov 53,Stenstrup,5771,6,231,1949,2400000.0,05-11-2016
Bøllemosen 8,Stenstrup,5771,5,118,1878,800000.0,27-10-2016
Stationsvej 47B,Stenstrup,5771,7,131,1965,925000.0,15-10-2016
Sandbjergvej 4,Stenstrup,5771,5,102,1962,500000.0,14-10-2016
Hovedvejen 78,Stenstrup,5771,5,141,1908,140000.0,11-10-2016
Egevænget 43,Stenstrup,5771,5,114,1973,1000000.0,10-10-2016
Solparken 10,Stenstrup,5771,5,165,1995,1935000.0,10-10-2016
Rødmevej 40,Stenstrup,5771,3,93,1965,300000.0,06-10-2016
Tværvej 26,Stenstrup,5771,4,108,1964,497500.0,26-09-2016
Humlevænget 3,Stenstrup,5771,3,92,1964,750000.0,29-08-2016
Løgeskov 55,Stenstrup,5771,4,154,1870,285000.0,27-08-2016
Hovedvejen 63,Stenstrup,5771,5,181,1932,325000.0,25-08-2016
Egevænget 37,Stenstrup,5771,7,212,1973,1300000.0,25-08-2016
Teglbakken 11B,Stenstrup,5771,3,85,2000,770000.0,10-08-2016
Krarupvej 29,Stenstrup,5771,4,117,1850,1300000.0,05-08-2016
Løgeskov 78,Stenstrup,5771,3,94,1800,70000.0,28-07-2016
Hasselvænget 1,Stenstrup,5771,3,82,1984,563124.0,22-06-2016
Teglbakken 42,Stenstrup,5771,4,129,1979,900000.0,17-06-2016
Assensvej 161,Stenstrup,5771,4,100,1900,595000.0,09-06-2016
Assensvej 268,Stenstrup,5771,4,90,1953,835000.0,23-05-2016
Alpevej 2,Stenstrup,5771,7,166,1913,525000.0,19-05-2016
Åbrinken 24,Stenstrup,5771,5,154,1977,1460000.0,17-05-2016
Åvangen 3,Stenstrup,5771,3,92,1985,465500.0,10-05-2016
Egevænget 28,Stenstrup,5771,4,124,1973,1100000.0,01-05-2016
Nørregårdsvej 11,Stenstrup,5771,3,98,1854,395000.0,08-04-2016
Gemalvej 6,Stenstrup,5771,3,104,1960,358965.0,10-03-2016
Hundtofte 6,Stenstrup,5771,6,130,1877,870000.0,09-03-2016
Hostrupvej 19,Stenstrup,5771,4,118,1961,750000.0,08-03-2016
Åvangen 15,Stenstrup,5771,4,122,1968,875000.0,02-03-2016
Stationsvej 6,Stenstrup,5771,4,140,1932,512500.0,25-02-2016
Bobjergvej 8,Stenstrup,5771,5,172,1900,741221.0,23-02-2016
Assensvej 30,Stenstrup,5771,3,104,1940,600000.0,10-02-2016
Assensvej 187,Stenstrup,5771,9,247,1903,1150000.0,29-01-2016
Egebjergvej 3,Stenstrup,5771,3,100,1960,530000.0,25-01-2016
Åparken 19,Stenstrup,5771,4,117,1971,750000.0,21-01-2016
Åvangen 4,Stenstrup,5771,3,120,1968,875000.0,21-01-2016
Kirkeby Sand 19,Stenstrup,5771,9,253,1966,54837.0,12-01-2016
Tørvelong 10,Stenstrup,5771,3,70,1872,50000.0,08-01-2016
Hundstrupvej 37,Stenstrup,5771,5,138,1894,700000.0,07-01-2016
Vængevej 4C,Stenstrup,5771,4,108,1896,360000.0,06-01-2016
Nørregårdsvej 23,Stenstrup,5771,6,250,2001,9785000.0,28-12-2015
Vængevej 9,Stenstrup,5771,4,112,1890,494045.0,22-12-2015
Nørregårdsvej 1,Stenstrup,5771,3,77,1902,325000.0,21-12-2015
Åvangen 2B,Stenstrup,5771,2,68,1985,340000.0,07-12-2015
Assensvej 139,Stenstrup,5771,4,154,1900,950000.0,04-12-2015
Ahornvænget 15,Stenstrup,5771,4,140,1979,1125000.0,19-11-2015
Assensvej 121B,Stenstrup,5771,8,209,2009,2700000.0,18-11-2015
Gemalvej 12,Stenstrup,5771,4,116,1961,710000.0,11-11-2015
Løgeskov 9,Stenstrup,5771,4,113,1850,500000.0,30-10-2015
Elmevænget 1,Stenstrup,5771,4,98,1968,750000.0,30-10-2015
Højevej 24,Stenstrup,5771,5,129,1961,1270000.0,11-10-2015
Assensvej 83,Stenstrup,5771,6,167,1927,100000.0,01-10-2015
Lærkevej 16,Stenstrup,5771,4,121,1966,790000.0,29-09-2015
Assensvej 36,Stenstrup,5771,5,144,1930,900000.0,25-09-2015
Pavegyden 11,Stenstrup,5771,4,75,1777,97500.0,24-09-2015
Assensvej 250,Stenstrup,5771,4,144,1920,925000.0,03-09-2015
Løgeskov 88,Stenstrup,5771,3,96,1956,950000.0,01-09-2015
Egevænget 25,Stenstrup,5771,4,111,1973,885000.0,24-08-2015
Vinkelvej 4,Stenstrup,5771,14,223,1906,2900000.0,10-08-2015
Assensvej 188,Stenstrup,5771,5,103,1927,580000.0,05-08-2015
Løgeskov 64A,Stenstrup,5771,2,93,1850,1035000.0,05-08-2015
Assensvej 33,Stenstrup,5771,4,158,1900,1200000.0,04-08-2015
Assensvej 233,Stenstrup,5771,3,70,1778,100000.0,23-07-2015
Humlevænget 2,Stenstrup,5771,4,122,1964,1000000.0,22-07-2015
Rødmevej 29,Stenstrup,5771,3,69,1938,394500.0,07-07-2015
Kirkeby Sand 35,Stenstrup,5771,4,130,1910,1350000.0,05-07-2015
Assensvej 54,Stenstrup,5771,5,138,1927,452400.0,26-05-2015
Assensvej 291,Stenstrup,5771,3,119,1994,600000.0,25-05-2015
Nystedsvej 10,Stenstrup,5771,5,188,1966,1000000.0,22-05-2015
Løgeskov 18,Stenstrup,5771,4,93,1900,380123.0,15-05-2015
Åparken 17,Stenstrup,5771,7,165,1973,1575000.0,06-05-2015
Sandbjergvej 2,Stenstrup,5771,3,97,1959,325000.0,21-04-2015
Rårudvej 6,Stenstrup,5771,3,95,1675,1100000.0,09-04-2015
Assensvej 262,Stenstrup,5771,7,241,1914,395000.0,27-03-2015
Alpevej 10,Stenstrup,5771,4,125,2000,1350000.0,19-02-2015
Vængevej 2,Stenstrup,5771,3,95,1949,850000.0,18-02-2015
Hovedvejen 43,Stenstrup,5771,3,144,1934,625000.0,09-02-2015
Stationsvej 76,Stenstrup,5771,5,150,1900,1000000.0,09-02-2015
Hedevej 28,Stenstrup,5771,6,132,1889,850000.0,05-02-2015
Morten Peders Vej 75,Stenstrup,5771,6,150,2012,1935000.0,28-01-2015
Toftevej 5,Stenstrup,5771,6,170,1970,750000.0,22-01-2015
Morten Peders Vej 85,Stenstrup,5771,5,167,2008,674169.0,21-01-2015
"Assensvej 154, 1",Stenstrup,5771,2,40,1947,55000.0,06-01-2015
Nystedsvej 13,Stenstrup,5771,3,101,1964,450000.0,22-12-2014
Solparken 16,Stenstrup,5771,4,96,1984,475000.0,18-12-2014
Hovedvejen 41,Stenstrup,5771,6,151,1931,1050000.0,15-12-2014
Højbjergvej 4,Stenstrup,5771,7,210,1858,1388188.0,09-12-2014
Højevej 19,Stenstrup,5771,5,118,1927,550000.0,21-11-2014
Bøgevænget 5,Stenstrup,5771,6,167,1977,725000.0,04-11-2014
Løgeskov 82,Stenstrup,5771,4,180,1880,750000.0,30-10-2014
Stationsvej 58,Stenstrup,5771,5,115,1904,196800.0,08-10-2014
Assensvej 300,Stenstrup,5771,5,172,1877,500000.0,07-10-2014
Gammel Sognevej 1,Stenstrup,5771,3,94,1964,745000.0,05-10-2014
Byvænget 13,Stenstrup,5771,3,105,1985,650000.0,02-10-2014
Trollekrogsvej 8,Stenstrup,5771,5,114,1956,1265000.0,01-10-2014
Birkevænget 4,Stenstrup,5771,3,99,1967,865000.0,17-09-2014
Assensvej 27,Stenstrup,5771,3,84,1956,463000.0,28-08-2014
Bobjergvej 20,Stenstrup,5771,6,169,1955,2275000.0,28-08-2014
Alpevej 8,Stenstrup,5771,3,104,1777,120000.0,06-08-2014
Stationsvej 51,Stenstrup,5771,4,123,1890,495000.0,04-08-2014
Teglbakken 32,Stenstrup,5771,6,166,1979,1385000.0,31-07-2014
Assensvej 20,Stenstrup,5771,4,157,1900,675000.0,21-07-2014
Teglbakken 25,Stenstrup,5771,4,105,1996,930000.0,21-07-2014
Stenbankevej 3,Stenstrup,5771,7,217,1900,656750.0,18-07-2014
Rårudvej 4,Stenstrup,5771,6,226,1899,2030000.0,11-07-2014
Gemalvej 17,Stenstrup,5771,8,320,1914,7485000.0,03-07-2014
Lundevej 8,Stenstrup,5771,4,213,1900,1260000.0,27-06-2014
Hundstrupvej 8,Stenstrup,5771,3,98,1927,950000.0,25-06-2014
Stationsvej 100,Stenstrup,5771,8,273,1882,668000.0,24-06-2014
Nystedsvej 7,Stenstrup,5771,4,96,1963,695000.0,20-05-2014
Kildevej 2,Stenstrup,5771,3,100,1965,660000.0,25-04-2014
"Assensvej 39, 1",Stenstrup,5771,2,74,1915,740000.0,24-04-2014
Assensvej 254,Stenstrup,5771,4,120,1900,330000.0,24-04-2014
Hostrupvej 16,Stenstrup,5771,4,123,1898,696600.0,15-04-2014
Tværvej 14,Stenstrup,5771,3,85,1959,600000.0,12-04-2014
Teglbakken 51,Stenstrup,5771,5,178,1979,975000.0,10-04-2014
Lindevej 29,Stenstrup,5771,1,35,1969,1450000.0,06-04-2014
