street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
"Gammel Køge Landevej 238, 1. 3",Hvidovre,2650,1,49,1961,665000.0,16-05-2017
Lellinge Alle 22,Hvidovre,2650,4,107,1953,3650000.0,10-05-2017
"Gammel Køge Landevej 296A, 2. TV",Hvidovre,2650,2,47,1947,1200000.0,10-05-2017
Engstrupgårdsvej 21,Hvidovre,2650,3,60,1959,1700000.0,10-05-2017
Elsborgvej 12,Hvidovre,2650,6,145,1938,3775000.0,09-05-2017
Hvidovre Strandvej 171,Hvidovre,2650,4,68,1963,1895000.0,08-05-2017
Beringgårdsvej 41,Hvidovre,2650,4,91,1964,828750.0,08-05-2017
"Rebæk Søpark 3, 5. 513",Hvidovre,2650,2,61,1972,1270000.0,08-05-2017
Baunebakkevej 139,Hvidovre,2650,3,74,1965,860000.0,08-05-2017
Krebsevej 6,Hvidovre,2650,4,95,1935,1404868.0,04-05-2017
Brostykkevej 72,Hvidovre,2650,4,90,1926,3545000.0,03-05-2017
"Landlystvej 57A, ST. TV",Hvidovre,2650,2,63,1987,1775000.0,01-05-2017
"Gammel Køge Landevej 266, 2. E",Hvidovre,2650,2,53,1966,1175000.0,01-05-2017
Risholmen 16,Hvidovre,2650,4,105,1964,2500000.0,30-04-2017
"Bonkesvej 3G, 1",Hvidovre,2650,1,60,1971,1498000.0,26-04-2017
"Hvidovrevej 105, 1. TH",Hvidovre,2650,3,70,1947,2000000.0,25-04-2017
"Næsborgvej 10, 1. TH",Hvidovre,2650,3,73,1966,1750000.0,24-04-2017
Toftemosevej 40,Hvidovre,2650,4,97,1960,2500000.0,22-04-2017
Stenstykkevej 21,Hvidovre,2650,5,105,1932,3595000.0,21-04-2017
Lellinge Alle 25,Hvidovre,2650,3,93,1941,3250000.0,20-04-2017
Hovager 17,Hvidovre,2650,3,35,1962,700000.0,19-04-2017
Paradisvej 24,Hvidovre,2650,3,100,1957,2100000.0,19-04-2017
Ulsevej 32,Hvidovre,2650,5,103,1962,2625000.0,18-04-2017
"Gammel Køge Landevej 260D, 2. TV",Hvidovre,2650,2,89,2007,2300000.0,18-04-2017
Frydenstrands Alle 23,Hvidovre,2650,6,164,1962,3355000.0,17-04-2017
Ajax Alle 38,Hvidovre,2650,3,74,1960,2350000.0,12-04-2017
Stenstykkevej 32,Hvidovre,2650,4,84,1970,1950000.0,12-04-2017
Strandby Alle 5,Hvidovre,2650,5,129,1971,3800000.0,11-04-2017
"Sønderkær 49, 1",Hvidovre,2650,2,70,1943,1550000.0,10-04-2017
Engstrupgårdsvej 43B,Hvidovre,2650,5,120,1977,1800000.0,10-04-2017
Baunebakkevej 145,Hvidovre,2650,2,62,1965,1495000.0,10-04-2017
Bjeverskov Alle 17,Hvidovre,2650,5,154,1961,3680000.0,09-04-2017
Achilles Alle 11,Hvidovre,2650,6,157,1989,3895000.0,07-04-2017
Tureby Alle 40,Hvidovre,2650,4,90,1962,3305000.0,07-04-2017
Markleddet 27A,Hvidovre,2650,5,123,1952,3800000.0,07-04-2017
Strandbovej 89,Hvidovre,2650,3,117,1977,3900000.0,06-04-2017
Træholmen 14,Hvidovre,2650,2,30,1946,700000.0,05-04-2017
Ærtebjergvej 26,Hvidovre,2650,5,117,1965,2380000.0,31-03-2017
"Bonkesvej 3B, 2",Hvidovre,2650,4,104,1971,2550000.0,31-03-2017
"Rebæk Søpark 3, 16. 1602",Hvidovre,2650,2,61,1972,1410000.0,30-03-2017
"Rebæk Søpark 3, 16. 1603",Hvidovre,2650,1,44,1972,890000.0,30-03-2017
Zeus Boulevard 23,Hvidovre,2650,4,125,2002,1650000.0,30-03-2017
Træholmen 4,Hvidovre,2650,2,15,1943,700000.0,29-03-2017
"Gammel Køge Landevej 268, 1. A",Hvidovre,2650,1,47,1966,899000.0,28-03-2017
Hvidovre Strandvej 201,Hvidovre,2650,4,85,1963,2085000.0,27-03-2017
Vesterkærsvej 10,Hvidovre,2650,6,183,1975,2200000.0,27-03-2017
Antvorskovvej 14,Hvidovre,2650,7,194,1939,3995000.0,26-03-2017
"Næsborgvej 86, 2. TH",Hvidovre,2650,3,58,1966,910000.0,24-03-2017
Grønholtvej 23,Hvidovre,2650,6,156,1935,6050000.0,21-03-2017
"Rebæk Søpark 3, 8. 806",Hvidovre,2650,2,63,1972,1200000.0,20-03-2017
Korshøjvej 4,Hvidovre,2650,5,155,1965,3110000.0,20-03-2017
Rebæk Alle 82,Hvidovre,2650,3,55,2006,1585000.0,20-03-2017
Træholmen 1,Hvidovre,2650,3,57,2008,1415000.0,19-03-2017
"Rebæk Søpark 3, 10. 1016",Hvidovre,2650,1,44,1972,760000.0,19-03-2017
"Gammel Køge Landevej 235F, 2",Hvidovre,2650,3,67,1958,1545000.0,19-03-2017
Ærtebjergvej 80,Hvidovre,2650,4,120,1985,3145000.0,19-03-2017
Sjølundvej 39,Hvidovre,2650,4,113,1963,2850000.0,17-03-2017
I C Lembrechts Alle 16,Hvidovre,2650,3,110,1935,3099000.0,17-03-2017
Krebsevej 48,Hvidovre,2650,6,157,1963,3530000.0,16-03-2017
Stillidsvej 4,Hvidovre,2650,3,103,1933,2800000.0,16-03-2017
Strandholms Alle 23,Hvidovre,2650,9,216,1963,4650000.0,16-03-2017
"Næsborgvej 64, ST. TH",Hvidovre,2650,3,81,1966,1800000.0,16-03-2017
Rebæk Alle 66,Hvidovre,2650,2,30,1945,825000.0,16-03-2017
"Næsborgvej 20, ST. TV",Hvidovre,2650,3,73,1966,1695000.0,15-03-2017
Avedøregårdsvej 56,Hvidovre,2650,4,100,1965,2950000.0,15-03-2017
Aktæons Alle 24,Hvidovre,2650,4,82,1938,3050000.0,15-03-2017
Søvangsvej 54,Hvidovre,2650,4,157,1979,2950000.0,14-03-2017
"Landlystvej 55B, 2. TH",Hvidovre,2650,2,52,1987,1650000.0,14-03-2017
Perlevej 67,Hvidovre,2650,4,92,1955,3300000.0,14-03-2017
"Hvidovrevej 180, 3. 307",Hvidovre,2650,3,97,1974,2250000.0,13-03-2017
Fagerstedvej 21,Hvidovre,2650,4,90,1955,3100000.0,13-03-2017
Langstrupvej 12,Hvidovre,2650,4,120,1961,3600000.0,13-03-2017
Dryadevej 17,Hvidovre,2650,5,113,1957,3200000.0,13-03-2017
Brobyvej 37,Hvidovre,2650,6,156,1965,3700000.0,12-03-2017
Bredegårds Alle 50,Hvidovre,2650,5,156,1957,1390948.0,11-03-2017
Homers Alle 9,Hvidovre,2650,4,96,1961,2900000.0,10-03-2017
"Næsborgvej 62, 1. TH",Hvidovre,2650,3,73,1966,1665000.0,10-03-2017
Dansborg Alle 3A,Hvidovre,2650,3,61,1987,1875000.0,08-03-2017
Torndalsvej 27,Hvidovre,2650,4,103,1960,2445000.0,08-03-2017
Strandbovej 75,Hvidovre,2650,7,195,2016,300000.0,08-03-2017
"Næsborgvej 12, 1. TV",Hvidovre,2650,3,73,1966,1795000.0,07-03-2017
"Rebæk Søpark 3, 8. 813",Hvidovre,2650,2,61,1972,1185000.0,07-03-2017
Glimvej 6,Hvidovre,2650,3,142,1925,2995000.0,07-03-2017
"Rebæk Søpark 9, 5. TV",Hvidovre,2650,4,101,1966,2150000.0,07-03-2017
Dryadevej 32,Hvidovre,2650,5,123,1959,2800000.0,06-03-2017
Risbjerggårds Alle 80,Hvidovre,2650,5,118,1931,3650000.0,06-03-2017
"Gammel Køge Landevej 233A, ST. 6",Hvidovre,2650,2,61,1958,1465000.0,05-03-2017
Catherine Boothsvej 37,Hvidovre,2650,4,93,1940,3375000.0,05-03-2017
Strandvangen 17,Hvidovre,2650,5,138,1970,2830000.0,02-03-2017
Catherine Boothsvej 11,Hvidovre,2650,3,121,1936,3350000.0,02-03-2017
Brostykkevej 141,Hvidovre,2650,4,112,1933,2900000.0,01-03-2017
"Rebæk Søpark 3, 3. 306",Hvidovre,2650,2,63,1972,1175000.0,28-02-2017
Ørumvej 38,Hvidovre,2650,5,115,1965,2895000.0,27-02-2017
Hvidovregårds Alle 12,Hvidovre,2650,4,110,1966,3645000.0,27-02-2017
Menelaos Boulevard 14,Hvidovre,2650,5,152,1941,2600000.0,27-02-2017
Nordlundsvej 80,Hvidovre,2650,3,99,1959,2400000.0,27-02-2017
Kløverprisvej 89,Hvidovre,2650,4,107,1960,3500000.0,24-02-2017
Dyrbæk 6,Hvidovre,2650,1,18,1944,685000.0,24-02-2017
Strandmarksvej 63,Hvidovre,2650,4,102,1961,2000000.0,23-02-2017
Ajax Alle 17,Hvidovre,2650,4,116,1934,2400000.0,23-02-2017
"Næsborgvej 52, ST. TH",Hvidovre,2650,3,74,1966,1685000.0,23-02-2017
Rosmosevej 32,Hvidovre,2650,6,117,1954,2400000.0,22-02-2017
Tavlekærsvej 31,Hvidovre,2650,6,125,1966,3805000.0,22-02-2017
"Hvidovre Torv 8, ST. TH",Hvidovre,2650,3,68,1947,1949000.0,22-02-2017
Åstrupgårdsvej 14,Hvidovre,2650,5,178,1958,5200000.0,22-02-2017
"Gammel Køge Landevej 233A, ST. 5",Hvidovre,2650,2,60,1958,1060000.0,21-02-2017
"Rebæk Søpark 3, 6. 619",Hvidovre,2650,1,44,1972,850000.0,20-02-2017
"Gammel Køge Landevej 308B, 2. TH",Hvidovre,2650,2,52,1961,1295000.0,20-02-2017
Frydenstrands Alle 53,Hvidovre,2650,5,174,1971,3000000.0,20-02-2017
"Næsborgvej 78, ST. TV",Hvidovre,2650,3,73,1966,1750000.0,20-02-2017
"Landlystvej 53, 2. TH",Hvidovre,2650,2,55,1987,1500000.0,17-02-2017
Bjergagervej 20B,Hvidovre,2650,4,107,1938,3675000.0,17-02-2017
Brostykkevej 43,Hvidovre,2650,5,116,1921,3550000.0,16-02-2017
"Rebæk Søpark 23, 5. MF",Hvidovre,2650,2,70,1966,1600000.0,16-02-2017
"Næsborgvej 28, 1. TH",Hvidovre,2650,3,73,1966,1665000.0,15-02-2017
Tureby Alle 37,Hvidovre,2650,5,160,1936,4525000.0,15-02-2017
Ladefyldvej 3A,Hvidovre,2650,3,91,1943,2300000.0,15-02-2017
"Rebæk Søpark 9, ST. MF",Hvidovre,2650,2,70,1966,1399000.0,15-02-2017
"Rebæk Søpark 3, 13. 1314",Hvidovre,2650,1,44,1972,830000.0,14-02-2017
Langåvej 62,Hvidovre,2650,3,89,1960,2900000.0,14-02-2017
"Næsborgvej 14, ST. TV",Hvidovre,2650,3,73,1966,1775000.0,13-02-2017
William Boothsvej 1,Hvidovre,2650,6,153,1959,3750000.0,13-02-2017
"Brostykkevej 121, 1. 12",Hvidovre,2650,3,84,1976,2000000.0,12-02-2017
"Gammel Køge Landevej 235G, 1",Hvidovre,2650,2,67,1958,1345000.0,10-02-2017
"Rebæk Søpark 3, 3. 302",Hvidovre,2650,2,61,1972,1100000.0,09-02-2017
Søstrand Alle 20,Hvidovre,2650,4,105,1954,2375000.0,08-02-2017
"Gammel Køge Landevej 266, 1. E",Hvidovre,2650,2,53,1966,1150000.0,07-02-2017
Pagteroldvej 50,Hvidovre,2650,3,71,1955,3495000.0,07-02-2017
I G Smiths Alle 22A,Hvidovre,2650,6,136,1959,617931.0,07-02-2017
