street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Oldrupvej 75,Hundslund,8350,6,197,1979,800000.0,18-04-2017
Hadrupvej 3,Hundslund,8350,4,136,1800,625000.0,10-04-2017
Oldrupvej 102,Hundslund,8350,4,110,1927,1600000.0,27-02-2017
Hadrupvej 21,Hundslund,8350,5,151,1951,900000.0,25-01-2017
Svinballevej 29,Hundslund,8350,5,171,1983,3700000.0,25-01-2017
Vads Møllevej 4,Hundslund,8350,6,130,1850,750000.0,17-01-2017
Vads Møllevej 2,Hundslund,8350,5,169,1900,800000.0,16-01-2017
Oldrupvej 85,Hundslund,8350,4,96,1965,575000.0,04-01-2017
Landevejen 28,Hundslund,8350,4,104,1930,1225000.0,21-10-2016
Hadrupvej 22,Hundslund,8350,12,260,1905,1625000.0,20-10-2016
Oldrupvej 6,Hundslund,8350,7,147,1902,1088000.0,15-10-2016
Hadrupvej 59,Hundslund,8350,4,130,1863,2495000.0,11-10-2016
Landevejen 31,Hundslund,8350,4,146,1936,773500.0,02-09-2016
Trustrupvej 13,Hundslund,8350,4,172,1825,3995000.0,11-08-2016
Sondrupvej 135,Hundslund,8350,4,157,1830,2600000.0,06-06-2016
Oldrupvej 49,Hundslund,8350,6,176,2007,1935000.0,27-05-2016
Vestervang 4,Hundslund,8350,5,140,1973,900000.0,26-05-2016
Damledet 26,Hundslund,8350,4,106,1800,1050000.0,12-04-2016
Torupvej 28,Hundslund,8350,6,190,2006,1020000.0,08-04-2016
Svinballevej 31,Hundslund,8350,6,203,1947,2675000.0,01-04-2016
Grønnegade 6,Hundslund,8350,5,123,1909,1100000.0,29-03-2016
Trustrupvej 24,Hundslund,8350,4,121,1919,320000.0,17-12-2015
Oldrupvej 71,Hundslund,8350,6,139,1972,1475000.0,01-10-2015
Vads Møllevej 27,Hundslund,8350,5,107,1850,600000.0,17-09-2015
Husrækken 19,Hundslund,8350,8,220,1777,2550000.0,22-08-2015
Hadrupvej 43,Hundslund,8350,7,200,1850,795000.0,30-06-2015
Søndervej 20,Hundslund,8350,6,132,1975,1125000.0,26-06-2015
Torupvej 23,Hundslund,8350,3,124,1976,995000.0,22-06-2015
Landevejen 17,Hundslund,8350,5,135,1904,190000.0,16-06-2015
Landevejen 32,Hundslund,8350,7,250,1889,12891015.0,16-06-2015
Sødrupvej 8,Hundslund,8350,11,255,1900,1000878.0,09-06-2015
Trustrupvej 22,Hundslund,8350,7,194,1880,678000.0,08-06-2015
Hadrupvej 4,Hundslund,8350,6,146,1917,2195000.0,29-05-2015
Oldrupvej 56,Hundslund,8350,7,221,1929,839165.0,29-05-2015
Lille Torupvej 7,Hundslund,8350,5,171,1977,1700000.0,01-04-2015
Søndervej 46,Hundslund,8350,4,141,1990,1365000.0,16-03-2015
Sondrupvej 50,Hundslund,8350,5,185,1912,2150000.0,02-03-2015
Sondrupvej 51,Hundslund,8350,4,118,1900,850000.0,14-02-2015
Landevejen 1,Hundslund,8350,4,148,1920,720890.0,13-02-2015
Sondrupvej 125,Hundslund,8350,3,123,1930,1125000.0,28-01-2015
Glibingvej 3,Hundslund,8350,9,208,1859,3480000.0,20-01-2015
Sondrupvej 39,Hundslund,8350,4,210,1966,577000.0,15-12-2014
Svinballevej 13,Hundslund,8350,7,298,1743,1443413.0,07-10-2014
Søndervej 36,Hundslund,8350,3,139,1986,650518.0,07-10-2014
Søndervej 34,Hundslund,8350,3,116,1986,950000.0,22-04-2014
Hadrupvej 45,Hundslund,8350,2,140,1906,660000.0,13-02-2014
Søndervej 40,Hundslund,8350,4,161,1997,200000.0,05-02-2014
Oldrupvej 13,Hundslund,8350,9,205,1962,1425000.0,05-02-2014
Landevejen 16,Hundslund,8350,7,140,1933,370000.0,27-12-2013
Oldrupvej 68,Hundslund,8350,5,95,1920,400000.0,17-12-2013
Svinballevej 21,Hundslund,8350,5,120,1920,200000.0,19-11-2013
Søndervej 22,Hundslund,8350,5,160,1975,1235000.0,10-10-2013
Sondrupvej 139,Hundslund,8350,5,165,1967,1500000.0,08-10-2013
Landevejen 6,Hundslund,8350,8,176,1903,70000.0,06-08-2013
Hadrupvej 18,Hundslund,8350,5,115,1920,1095000.0,17-07-2013
Søndervej 27A,Hundslund,8350,3,73,1983,725000.0,31-05-2013
Vads Møllevej 13,Hundslund,8350,6,181,1964,1900000.0,10-03-2013
Grønnegade 2,Hundslund,8350,3,157,1920,1095000.0,30-01-2013
Vads Møllevej 3,Hundslund,8350,7,233,1984,2136000.0,19-12-2012
Søndervej 6,Hundslund,8350,6,151,1965,1200000.0,18-12-2012
Langgade 19,Hundslund,8350,4,87,1888,710000.0,11-12-2012
Sondrupvej 83,Hundslund,8350,4,73,1938,590000.0,10-12-2012
Oddervej 41,Hundslund,8350,6,202,1909,4000000.0,07-12-2012
Sødrupvej 7,Hundslund,8350,3,102,1876,1095000.0,17-09-2012
Sondrupvej 81,Hundslund,8350,7,186,1825,4400000.0,03-09-2012
Trustrupvej 34,Hundslund,8350,8,310,1919,639948.0,21-06-2012
Trustrupvej 5,Hundslund,8350,3,95,1943,1200000.0,20-06-2012
Langgade 4,Hundslund,8350,4,111,1900,651000.0,03-04-2012
Oddervej 33,Hundslund,8350,7,138,1969,5600000.0,26-03-2012
Sondrupvej 133,Hundslund,8350,4,212,2008,125000.0,29-02-2012
Sondrupvej 69,Hundslund,8350,1,20,1944,475000.0,21-02-2012
Guldagervej 2,Hundslund,8350,5,158,1906,880000.0,17-02-2012
Søndervej 50B,Hundslund,8350,3,84,1983,750000.0,24-01-2012
Hadrupvej 14,Hundslund,8350,3,100,1877,1990000.0,18-01-2012
Sondrupvej 119,Hundslund,8350,7,194,1903,882439.0,12-01-2012
Svinballevej 41,Hundslund,8350,9,234,1872,3300000.0,30-12-2011
Tudsdamvej 21,Hundslund,8350,4,110,1967,2050000.0,13-12-2011
Hadrupvej 32,Hundslund,8350,5,144,1888,175000.0,09-12-2011
Vestervang 9,Hundslund,8350,6,148,1968,1275000.0,09-11-2011
Tudsdamvej 22,Hundslund,8350,4,100,1935,4024441.0,13-09-2011
Landevejen 42,Hundslund,8350,2,80,1932,345000.0,06-09-2011
Sondrupvej 100,Hundslund,8350,2,60,1874,1500000.0,30-08-2011
Sondrupvej 84,Hundslund,8350,2,93,1860,1100000.0,18-08-2011
Langgade 14,Hundslund,8350,7,271,1872,911800.0,20-07-2011
Sondrupvej 92,Hundslund,8350,3,70,1950,1062500.0,07-07-2011
Sondrupvej 93,Hundslund,8350,4,100,1951,1105000.0,23-06-2011
Hadrupvej 60,Hundslund,8350,7,226,1974,290000.0,19-05-2011
Torupvej 16,Hundslund,8350,5,137,1952,1100000.0,04-05-2011
Husrækken 23,Hundslund,8350,7,168,1927,2100000.0,22-03-2011
Guldagervej 6,Hundslund,8350,5,147,1907,2000000.0,16-02-2011
Torupvej 30,Hundslund,8350,4,105,2007,1425000.0,01-02-2011
Sondrupvej 73,Hundslund,8350,6,219,1877,1600000.0,20-01-2011
Søndervej 1,Hundslund,8350,7,254,1962,900000.0,18-01-2011
Landevejen 2,Hundslund,8350,2,86,1908,420000.0,11-01-2011
Hadrupvej 12,Hundslund,8350,5,124,1982,1700000.0,23-11-2010
Trustrupvej 20,Hundslund,8350,7,180,1900,1100000.0,15-10-2010
Vestervang 5,Hundslund,8350,6,136,1974,701787.0,04-10-2010
Skablundvej 5,Hundslund,8350,4,190,1930,2945000.0,18-09-2010
Hadrupvej 19,Hundslund,8350,4,162,1949,1780000.0,03-09-2010
Oldrupvej 32,Hundslund,8350,4,122,1925,1750000.0,02-09-2010
Torupvej 41,Hundslund,8350,7,226,1994,4500000.0,19-08-2010
Lille Torupvej 9,Hundslund,8350,5,147,1978,1535000.0,13-08-2010
Søndervej 8,Hundslund,8350,5,147,1963,1460000.0,29-07-2010
Søndervej 41,Hundslund,8350,2,62,1966,740000.0,08-07-2010
