street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Rolf Krakes Vej 57,Svendborg,5700,6,139,1973,988000.0,11-05-2017
Sophie Frederikke V 15,Svendborg,5700,4,124,1962,239188.0,10-05-2017
Myrehøjvej 8,Svendborg,5700,6,132,1961,2062751.0,04-05-2017
Røllikevænget 8,Svendborg,5700,3,59,1977,815000.0,04-05-2017
Valborgs Kasse 68,Svendborg,5700,2,50,1935,1150000.0,02-05-2017
Udflyttervej 20,Svendborg,5700,6,251,1882,2000000.0,28-04-2017
Havretoften 10,Svendborg,5700,3,84,1976,700000.0,27-04-2017
Møllergade 93,Svendborg,5700,3,114,1761,1567500.0,20-04-2017
Skovballevej 94,Svendborg,5700,6,133,1850,1025000.0,20-04-2017
Kildetoften 11A,Svendborg,5700,1,52,1974,605000.0,19-04-2017
"Wandallsvej 35B, 1. TH",Svendborg,5700,3,97,1975,1215000.0,18-04-2017
Niels Juels Vej 2,Svendborg,5700,5,108,1913,2950000.0,18-04-2017
Færgegårdsvej 43,Svendborg,5700,4,137,1970,1125000.0,14-04-2017
Gammel Hestehauge 14,Svendborg,5700,5,144,1965,3240000.0,12-04-2017
Aninevej 30,Svendborg,5700,4,128,1971,1625000.0,11-04-2017
Myrehøjvej 35B,Svendborg,5700,4,111,1979,1300000.0,10-04-2017
Bergmannsvej 54,Svendborg,5700,4,99,1958,925000.0,07-04-2017
Apotekervej 6,Svendborg,5700,4,100,1900,1000000.0,05-04-2017
Tvedvej 180,Svendborg,5700,4,80,1960,985000.0,04-04-2017
Vejlen 14,Svendborg,5700,7,202,1827,1350000.0,04-04-2017
Helletoften 4,Svendborg,5700,6,146,1974,1300000.0,04-04-2017
Strandvej 86,Svendborg,5700,5,162,1962,3850000.0,04-04-2017
Grev Schacks Vej 26,Svendborg,5700,3,97,1918,1275000.0,03-04-2017
Kystvænget 13,Svendborg,5700,5,166,1967,4100000.0,02-04-2017
Myrehøjvej 33C,Svendborg,5700,4,111,1978,1550000.0,02-04-2017
Bontvedvænget 3A,Svendborg,5700,2,43,1971,475000.0,31-03-2017
Grønnevej 206,Svendborg,5700,5,148,1807,4062500.0,30-03-2017
Sanddalsvej 24,Svendborg,5700,2,64,1939,1660000.0,28-03-2017
Brændeskovvænget 12B,Svendborg,5700,3,90,1981,1125000.0,27-03-2017
Grundtvigsvej 6,Svendborg,5700,5,126,1972,1545000.0,25-03-2017
"Bregnedalsvej 7, ST",Svendborg,5700,2,82,1939,1100000.0,25-03-2017
Hvidkløvervej 28,Svendborg,5700,4,102,1987,1242500.0,24-03-2017
Vindeby Enghavevej 2,Svendborg,5700,4,119,1931,2300000.0,24-03-2017
Helletoften 33,Svendborg,5700,4,116,1977,1270000.0,24-03-2017
Gyvelvænget 10,Svendborg,5700,3,69,1971,1175000.0,20-03-2017
Rønne Alle 12,Svendborg,5700,8,228,1913,2800000.0,20-03-2017
Louisenlund 62,Svendborg,5700,4,91,1983,1050000.0,18-03-2017
Bærvænget 14,Svendborg,5700,5,207,2006,3265000.0,17-03-2017
Wandallsparken 29,Svendborg,5700,4,125,1973,1400000.0,16-03-2017
Brændeskovvænget 10E,Svendborg,5700,2,67,1983,780000.0,15-03-2017
Lupinvænget 5,Svendborg,5700,3,81,1980,447714.0,15-03-2017
Egeløkken 13,Svendborg,5700,4,114,1972,1100777.0,14-03-2017
Rømerparken 25,Svendborg,5700,3,80,1978,900000.0,14-03-2017
Smedevænget 4,Svendborg,5700,4,126,1949,280000.0,10-03-2017
Thorsvej 1,Svendborg,5700,5,201,1905,1550000.0,09-03-2017
"Klosterplads 5B, 1. TV",Svendborg,5700,6,90,1910,1280000.0,09-03-2017
Wandallsvænge 54,Svendborg,5700,4,136,1973,1725000.0,08-03-2017
Bontvedvænget 3B,Svendborg,5700,2,42,1971,495000.0,07-03-2017
Bratenvej 34,Svendborg,5700,4,122,1968,1300000.0,07-03-2017
"Skattergade 1B, ST. TV",Svendborg,5700,2,70,1847,995000.0,07-03-2017
Louisenlund 19,Svendborg,5700,4,92,1983,1100000.0,07-03-2017
"Wandallsvej 35A, 2. 5",Svendborg,5700,1,41,1975,340000.0,06-03-2017
Avernakøvej 29C,Svendborg,5700,3,99,1977,1220000.0,06-03-2017
Høje Bøge Vej 45,Svendborg,5700,4,180,1935,2115000.0,06-03-2017
"Christiansmindevej 6B, 1. MF",Svendborg,5700,2,71,1912,1460000.0,05-03-2017
Grundtvigsvej 9B,Svendborg,5700,4,88,1982,1025000.0,04-03-2017
Sangdrosselvej 4,Svendborg,5700,4,150,1967,1575000.0,03-03-2017
Sundbrovej 26,Svendborg,5700,5,110,1873,2100000.0,02-03-2017
"Nannasvej 5, ST",Svendborg,5700,4,123,1904,150000.0,02-03-2017
Bruuns Alle 6,Svendborg,5700,4,146,1942,1720000.0,28-02-2017
Brændeskovvænget 27,Svendborg,5700,5,129,1982,1475000.0,27-02-2017
Tycho Brahes Vej 6,Svendborg,5700,5,150,1950,2060000.0,27-02-2017
Brændeskovvænget 2C,Svendborg,5700,3,90,1980,1095000.0,27-02-2017
Cedervænget 10,Svendborg,5700,4,100,1976,450000.0,24-02-2017
Skovvej 3,Svendborg,5700,6,143,1936,1799000.0,24-02-2017
Søbyvej 3,Svendborg,5700,9,245,1898,3000000.0,22-02-2017
Tinggårdsvej 13,Svendborg,5700,7,122,1943,1100000.0,22-02-2017
Hjejlevej 7,Svendborg,5700,4,130,1971,1320000.0,22-02-2017
Bergmannsvej 35,Svendborg,5700,5,145,1757,1495000.0,21-02-2017
Nyborgvej 241,Svendborg,5700,3,101,1960,1000000.0,21-02-2017
Lupinvænget 40,Svendborg,5700,3,81,1980,890000.0,21-02-2017
Bakkestjernevej 5,Svendborg,5700,4,48,1974,945000.0,20-02-2017
Struebjerg 14,Svendborg,5700,4,110,1961,1295000.0,17-02-2017
Solsikkevej 6,Svendborg,5700,3,88,1982,895000.0,17-02-2017
Stenbukken 81,Svendborg,5700,7,185,1987,2950500.0,17-02-2017
Enebærvænget 11,Svendborg,5700,4,124,1977,1525000.0,17-02-2017
Præstevænget 2,Svendborg,5700,6,195,1938,2975000.0,15-02-2017
Odensevej 99,Svendborg,5700,6,108,1964,2000000.0,15-02-2017
Sonnesvej 9,Svendborg,5700,6,155,1970,2975000.0,14-02-2017
Eskærvej 29,Svendborg,5700,5,113,1967,1200000.0,13-02-2017
Glarmestervej 36,Svendborg,5700,3,133,1927,1725000.0,13-02-2017
Ørbækvej 16,Svendborg,5700,4,105,1949,1075000.0,13-02-2017
Strandvej 2C,Svendborg,5700,5,127,1929,1870000.0,12-02-2017
"Enghavevej 39, 1. TV",Svendborg,5700,2,52,1935,700000.0,10-02-2017
Notarvænget 7,Svendborg,5700,4,111,1976,1435000.0,10-02-2017
Ørkildsgade 61E,Svendborg,5700,2,46,1983,501500.0,10-02-2017
"Toldbodvej 1, 4. MF",Svendborg,5700,1,41,1935,860000.0,09-02-2017
Vindeby Enghavevej 4,Svendborg,5700,4,169,1922,1248805.0,09-02-2017
Rømerparken 111,Svendborg,5700,3,80,1979,900000.0,09-02-2017
Lundtoftevej 27,Svendborg,5700,5,141,1971,1595000.0,08-02-2017
Erik Skeels Vej 32B,Svendborg,5700,4,94,1984,1300000.0,07-02-2017
Sundbrovej 100,Svendborg,5700,6,188,1939,675000.0,07-02-2017
Kuopiovej 32,Svendborg,5700,4,115,1975,2000000.0,07-02-2017
"Vestergade 33C, 2",Svendborg,5700,3,74,1877,645000.0,06-02-2017
Skovbakken 9,Svendborg,5700,5,156,1939,2000000.0,06-02-2017
Solbærvænget 23,Svendborg,5700,4,118,1998,1950000.0,02-02-2017
Stubbevangen 25,Svendborg,5700,4,149,1972,1475000.0,02-02-2017
Hvidkløvervej 21,Svendborg,5700,3,81,1979,1060000.0,01-02-2017
