street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Skovvej 19,Gedsted,9631,5,158,1988,670000.0,02-05-2017
Bøgevænget 10,Gedsted,9631,6,105,1969,507500.0,02-05-2017
Tolshøj 8,Gedsted,9631,13,313,1982,595000.0,10-03-2017
Glerupvej 123,Gedsted,9631,5,151,1932,85000.0,17-02-2017
Langagervej 1,Gedsted,9631,3,95,1938,190000.0,20-01-2017
Tolshøj 4,Gedsted,9631,5,162,1901,500000.0,09-01-2017
Tolshøj 26,Gedsted,9631,6,139,1934,555000.0,30-12-2016
Fjordvej 21,Gedsted,9631,3,126,1916,330000.0,21-12-2016
Holmmarkvej 48,Gedsted,9631,2,39,1935,277000.0,12-12-2016
Langagervej 11,Gedsted,9631,4,129,1964,580000.0,12-12-2016
Vejgrenen 2,Gedsted,9631,4,70,1949,200000.0,06-12-2016
Vesterbro 31,Gedsted,9631,4,109,1946,670000.0,02-12-2016
Korsholmvej 174,Gedsted,9631,10,272,1777,152156.0,15-11-2016
Ålevænget 6,Gedsted,9631,3,86,1972,450000.0,11-11-2016
Bystrupvænget 50,Gedsted,9631,8,210,1932,14700000.0,31-10-2016
Enghavevej 27,Gedsted,9631,4,109,1953,150000.0,26-10-2016
Anna Maries Vej 2,Gedsted,9631,3,60,1972,740000.0,18-10-2016
Østergade 55,Gedsted,9631,4,90,1902,36001.0,18-10-2016
Tværgade 6,Gedsted,9631,4,88,1877,10000.0,27-09-2016
Korsholmvej 177,Gedsted,9631,6,177,1942,800000.0,19-08-2016
Karen Margrethes Vej 12,Gedsted,9631,4,96,2007,995000.0,19-08-2016
Bakkevej 15,Gedsted,9631,2,56,1946,175000.0,10-08-2016
Søndergade 15,Gedsted,9631,4,118,1948,287585.0,06-07-2016
Ingrids Vej 2,Gedsted,9631,4,121,1980,725000.0,19-05-2016
Tværgade 10,Gedsted,9631,3,140,1892,190000.0,09-05-2016
Havealle 1,Gedsted,9631,4,85,1936,50000.0,03-05-2016
Bøgevænget 4,Gedsted,9631,6,138,1959,214000.0,22-03-2016
Tværgade 4,Gedsted,9631,5,135,1857,80000.0,20-03-2016
Enghavevej 3D,Gedsted,9631,4,105,1980,314500.0,18-03-2016
Tolshøj 14,Gedsted,9631,2,120,1910,160000.0,10-03-2016
Søndergade 9,Gedsted,9631,5,109,1937,300000.0,07-03-2016
Firhøjevej 20,Gedsted,9631,3,75,1880,50000.0,02-03-2016
Korsvejen 85,Gedsted,9631,8,174,1962,175000.0,27-02-2016
Korsholmvej 181,Gedsted,9631,4,103,1953,96732.0,15-01-2016
Sognevejen 266,Gedsted,9631,9,215,1948,1600000.0,19-12-2015
Holmmarkvej 107,Gedsted,9631,7,190,1945,461500.0,10-12-2015
Søndergade 23,Gedsted,9631,4,102,1962,265000.0,27-11-2015
Fasanvej 8,Gedsted,9631,4,106,1962,268500.0,10-11-2015
Højagervej 7,Gedsted,9631,4,115,1974,415000.0,23-10-2015
Østergade 64,Gedsted,9631,4,137,1946,155000.0,28-09-2015
Bystrupvej 2,Gedsted,9631,3,115,1931,80000.0,28-07-2015
Bystrupvænget 43,Gedsted,9631,7,202,1880,600000.0,28-07-2015
Højdevej 18,Gedsted,9631,4,139,1967,243853.0,14-07-2015
Østergade 53,Gedsted,9631,4,159,1934,850000.0,27-05-2015
Bystrupvej 10,Gedsted,9631,4,181,2006,1840000.0,21-05-2015
Enghavevej 11,Gedsted,9631,4,84,1950,135000.0,06-05-2015
Lyngvej 20,Gedsted,9631,5,153,1980,900000.0,29-04-2015
Glerupvej 135,Gedsted,9631,8,270,1904,1600000.0,17-04-2015
Østergade 28,Gedsted,9631,2,135,1905,180000.0,14-04-2015
Enghavevej 20A,Gedsted,9631,4,104,2008,460000.0,30-03-2015
Skovvej 33,Gedsted,9631,3,99,1966,275000.0,26-02-2015
Langagervej 5,Gedsted,9631,3,90,1949,89526.0,22-02-2015
Holmmarkvej 109,Gedsted,9631,7,220,1917,4750000.0,06-02-2015
Østergade 18,Gedsted,9631,5,149,1907,125000.0,28-01-2015
Tolshøj 5,Gedsted,9631,5,96,1950,150000.0,13-01-2015
Søndergade 13,Gedsted,9631,3,112,1946,755000.0,28-11-2014
Blaabærvej 14,Gedsted,9631,6,167,1999,1225000.0,27-11-2014
Langagervej 3,Gedsted,9631,6,95,1943,160000.0,18-11-2014
Skovvej 11,Gedsted,9631,2,67,1960,70600.0,04-11-2014
Sønderbyvej 7,Gedsted,9631,4,119,1963,340000.0,01-11-2014
Bakkevej 8,Gedsted,9631,3,105,1954,500000.0,27-10-2014
Fasanvej 14,Gedsted,9631,5,243,2009,2000000.0,27-10-2014
Vejgrenen 1,Gedsted,9631,4,177,1907,675000.0,10-10-2014
Præstevejen 156,Gedsted,9631,5,134,1936,350000.0,03-10-2014
Glerupvej 158,Gedsted,9631,4,130,1976,325000.0,03-10-2014
Vesterbro 56,Gedsted,9631,5,118,1983,1500000.0,03-07-2014
Tjørnevej 7A,Gedsted,9631,5,122,1953,262500.0,20-06-2014
Bakkevej 11,Gedsted,9631,6,116,1953,180000.0,17-06-2014
Nørgaardsvej 50,Gedsted,9631,5,200,1918,51583334.0,26-05-2014
Fjordvej 30,Gedsted,9631,6,220,1979,1600000.0,02-04-2014
Glerupvej 140,Gedsted,9631,7,221,1981,1625000.0,04-03-2014
Ålevænget 11,Gedsted,9631,4,69,1972,200000.0,30-01-2014
Flyndervej 7,Gedsted,9631,3,72,1967,300000.0,20-01-2014
Præstevejen 210,Gedsted,9631,3,94,1877,468750.0,25-11-2013
Glerupvej 149,Gedsted,9631,6,170,1981,5440000.0,04-11-2013
Bopladsen 2,Gedsted,9631,5,146,1979,585000.0,25-10-2013
Vesterbro 33,Gedsted,9631,3,120,1940,925000.0,15-10-2013
Makrelvej 2,Gedsted,9631,5,100,1971,505702.0,14-10-2013
Flyndervej 5,Gedsted,9631,3,62,1976,415000.0,30-07-2013
Sognevejen 252,Gedsted,9631,5,140,1900,650000.0,16-07-2013
Holmmarkvej 52,Gedsted,9631,4,135,1894,2440000.0,15-07-2013
Korsholmvej 51,Gedsted,9631,4,130,1968,1550000.0,24-06-2013
Langagervej 31,Gedsted,9631,5,133,1973,750000.0,24-06-2013
Østergade 44,Gedsted,9631,5,115,1952,163336.0,18-06-2013
Korsholmvej 146,Gedsted,9631,6,217,1911,3450000.0,11-06-2013
Langagervej 7,Gedsted,9631,3,90,1960,350000.0,11-06-2013
Bakkevej 23,Gedsted,9631,5,190,1962,375000.0,29-05-2013
Vesterbro 6,Gedsted,9631,5,144,1909,675000.0,07-03-2013
Fasanvej 13,Gedsted,9631,5,160,1947,142400.0,22-01-2013
Enghavevej 4A,Gedsted,9631,11,272,1868,675000.0,07-01-2013
Glerupvej 132,Gedsted,9631,3,105,1905,1677133.0,17-12-2012
Makrelvej 5,Gedsted,9631,4,72,1980,350000.0,20-11-2012
Nørgaardsvej 1,Gedsted,9631,3,129,1966,690000.0,12-10-2012
Lyngvej 2,Gedsted,9631,4,125,1907,260000.0,02-10-2012
Lyngvej 32,Gedsted,9631,4,129,1966,250000.0,30-09-2012
Ålevænget 7,Gedsted,9631,3,60,1970,450000.0,29-06-2012
Skovvej 31,Gedsted,9631,4,100,1966,260000.0,24-05-2012
Holmmarkvej 76,Gedsted,9631,5,181,2015,110000.0,03-05-2012
Glerupvej 198,Gedsted,9631,7,170,1916,1675000.0,23-04-2012
Glerupvej 101,Gedsted,9631,5,129,1907,697912.0,20-04-2012
Østergade 54,Gedsted,9631,6,120,1919,635000.0,01-03-2012
Østergade 46,Gedsted,9631,4,102,1943,175000.0,08-02-2012
Østergade 40,Gedsted,9631,5,127,1935,640000.0,26-01-2012
