street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Harres 55,Bredebro,6261,5,136,1939,1500000.0,01-05-2017
Sct Hansvej 16,Bredebro,6261,4,123,1977,800000.0,01-05-2017
Byvej 35,Bredebro,6261,5,176,1905,750000.0,24-03-2017
Midsommervej 89,Bredebro,6261,7,207,1978,825000.0,20-03-2017
Munketoft 6,Bredebro,6261,5,160,1934,600000.0,19-03-2017
Strandvej 6,Bredebro,6261,7,245,1902,736730.0,16-03-2017
Harres 47,Bredebro,6261,4,115,1938,1200000.0,06-03-2017
Randerup Østermark 3,Bredebro,6261,5,129,1960,406284.0,01-03-2017
Møllevej 2,Bredebro,6261,5,222,1899,135000.0,01-03-2017
Skomagergade 5,Bredebro,6261,4,80,1877,305000.0,01-02-2017
Kummerlev 17,Bredebro,6261,8,160,1972,3452500.0,31-01-2017
Vollum Østermark 10,Bredebro,6261,5,130,1938,4348000.0,25-01-2017
Borg 75,Bredebro,6261,4,125,1939,500000.0,23-01-2017
Trælborgvej 12,Bredebro,6261,3,99,1963,250000.0,20-01-2017
Møllebakken 6,Bredebro,6261,3,104,1964,525000.0,18-01-2017
Nr Vollum 10,Bredebro,6261,5,140,1914,50000.0,17-01-2017
Borg 45,Bredebro,6261,3,86,1877,263500.0,26-12-2016
Strandvej 3,Bredebro,6261,2,43,2004,405000.0,22-12-2016
Nr Vollum 24,Bredebro,6261,5,166,1983,14758000.0,19-12-2016
Harknagvej 17,Bredebro,6261,2,71,1770,25000.0,14-12-2016
Harknagvej 18,Bredebro,6261,8,261,1859,600000.0,09-12-2016
Krovej 17,Bredebro,6261,6,185,1980,1300000.0,02-12-2016
Aaspe 20,Bredebro,6261,12,323,1914,3300000.0,01-12-2016
Nygade 7,Bredebro,6261,6,97,1926,230000.0,29-11-2016
Borgvej 1B,Bredebro,6261,5,87,1954,590000.0,14-11-2016
Høybergvej 12,Bredebro,6261,3,84,1775,20719.0,11-11-2016
Nørhus 5,Bredebro,6261,6,180,1889,217000.0,11-11-2016
Kystvej 37,Bredebro,6261,4,61,1994,2800000.0,10-11-2016
Harres 18,Bredebro,6261,8,203,1933,135000.0,12-10-2016
Harres 39,Bredebro,6261,7,178,1907,215000.0,12-10-2016
Munketoft 4,Bredebro,6261,5,120,1964,350000.0,12-10-2016
Randerup 5,Bredebro,6261,2,87,1996,1538000.0,12-10-2016
Østerende 16,Bredebro,6261,4,146,1998,450000.0,05-10-2016
Catharinasvej 1,Bredebro,6261,4,98,1970,25000.0,05-10-2016
Sportsvej 3,Bredebro,6261,4,104,1949,520000.0,30-09-2016
Høybergvej 77,Bredebro,6261,7,237,1927,1900000.0,26-09-2016
Stationsvej 3,Bredebro,6261,3,86,1954,50000.0,14-09-2016
Søndervang 55C,Bredebro,6261,4,91,1980,299000.0,05-09-2016
Harres 13,Bredebro,6261,6,139,1956,153000.0,29-08-2016
Østervang 31,Bredebro,6261,4,106,1968,323000.0,16-08-2016
Høybergvej 55,Bredebro,6261,3,145,1934,199000.0,11-07-2016
Borgvej 2,Bredebro,6261,4,115,1961,170000.0,10-07-2016
Skast 41,Bredebro,6261,4,135,1911,120000.0,27-06-2016
Skast 62,Bredebro,6261,3,93,1930,10000.0,14-06-2016
Lagervej 11,Bredebro,6261,3,105,1935,525000.0,01-06-2016
Skast 46,Bredebro,6261,4,87,1959,230000.0,31-05-2016
Sct Hansvej 5,Bredebro,6261,5,122,1977,765000.0,26-05-2016
Midsommervej 97,Bredebro,6261,5,165,2017,26700.0,24-05-2016
Trælborg 7,Bredebro,6261,6,162,1880,977500.0,19-05-2016
Storde 1,Bredebro,6261,7,297,1993,8673000.0,19-05-2016
Strandvej 27,Bredebro,6261,9,218,1890,690000.0,12-05-2016
Byvej 14,Bredebro,6261,5,137,1955,190000.0,10-05-2016
Parkvej 21,Bredebro,6261,5,120,1877,2330000.0,10-05-2016
Langager 3,Bredebro,6261,5,202,2016,132030.0,26-04-2016
Mollerup 12,Bredebro,6261,5,210,1866,295000.0,18-04-2016
Lagervej 12,Bredebro,6261,6,153,1949,332181.0,14-04-2016
Skast 95,Bredebro,6261,8,220,1911,555500.0,12-04-2016
Skast 38,Bredebro,6261,9,394,1849,900000.0,11-04-2016
Midsommervej 115,Bredebro,6261,4,144,1980,900000.0,07-04-2016
Brogade 1,Bredebro,6261,10,173,1860,1893400.0,01-04-2016
Søndergade 16,Bredebro,6261,4,108,1922,450000.0,01-04-2016
Søndervang 58B,Bredebro,6261,3,77,1980,350000.0,01-04-2016
Brinkvej 22,Bredebro,6261,9,210,1957,745000.0,22-03-2016
Byvej 30,Bredebro,6261,2,80,1955,326000.0,19-03-2016
Sct Hansvej 43,Bredebro,6261,9,245,1976,1175000.0,11-03-2016
Vestervang 5,Bredebro,6261,6,192,1973,950000.0,08-03-2016
Midsommervej 106,Bredebro,6261,5,154,1980,175000.0,28-02-2016
Søndervang 29,Bredebro,6261,5,142,1974,400000.0,22-02-2016
