street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Kæderupvej 22,Tureby,4682,5,206,1920,530000.0,06-04-2017
Toftevej 6,Tureby,4682,3,111,1977,1350000.0,27-01-2017
Vangevej 1,Tureby,4682,6,336,1937,1200000.0,11-01-2017
Byvej 19,Tureby,4682,3,93,1955,1100000.0,06-01-2017
Byvej 68,Tureby,4682,2,68,1887,820000.0,03-01-2017
Vordingborgvej 334B,Tureby,4682,4,140,1918,750000.0,21-12-2016
Vordingborgvej 334A,Tureby,4682,3,184,1918,999000.0,21-12-2016
Skovvej 4,Tureby,4682,3,142,1910,2230000.0,06-12-2016
Solvænget 2,Tureby,4682,5,151,1962,1250000.0,05-12-2016
Østerskovvej 34,Tureby,4682,4,195,1912,1310000.0,01-12-2016
Turebyvej 23,Tureby,4682,5,170,1777,2486000.0,21-11-2016
Turebyvej 5,Tureby,4682,3,115,1680,1395000.0,31-10-2016
Byskovvej 48A,Tureby,4682,5,131,1983,1530000.0,27-10-2016
Toftevej 7,Tureby,4682,6,158,1969,1950000.0,20-10-2016
Byvej 32,Tureby,4682,3,85,1947,500000.0,11-10-2016
Solvænget 23,Tureby,4682,5,163,1967,995000.0,02-10-2016
Sonnerupvej 1,Tureby,4682,5,148,1930,1460000.0,06-09-2016
Sonnerupvej 52,Tureby,4682,4,149,1862,1275000.0,05-09-2016
Byvej 54,Tureby,4682,5,219,1970,2200000.0,01-09-2016
Mosegårdsvej 3,Tureby,4682,4,150,1900,1650000.0,18-08-2016
Turebyvej 39,Tureby,4682,5,138,1967,998000.0,07-08-2016
Druestrupvej 19,Tureby,4682,4,113,1939,1045000.0,01-08-2016
Byagervej 28,Tureby,4682,5,202,1979,1870000.0,27-07-2016
Skrosbjergvej 1,Tureby,4682,7,258,1864,871250.0,29-06-2016
Østervænget 10,Tureby,4682,5,136,2002,2000000.0,24-06-2016
Ringsbjergvej 37,Tureby,4682,5,208,1884,1925000.0,21-06-2016
Turebyvej 37A,Tureby,4682,4,106,1988,575000.0,15-06-2016
Sonnerupvej 50,Tureby,4682,5,195,1850,195120.0,13-06-2016
Turebyvej 37,Tureby,4682,5,249,1929,1375000.0,03-06-2016
Vordingborgvej 335,Tureby,4682,6,166,1877,1325000.0,24-05-2016
Rødemosevej 13,Tureby,4682,3,125,1912,2700000.0,19-05-2016
Skrosbjergvej 11,Tureby,4682,6,145,1792,1395000.0,29-04-2016
Ankerstræde 21,Tureby,4682,5,140,2005,2650000.0,21-04-2016
Skovvej 18,Tureby,4682,4,119,1900,2175000.0,12-04-2016
Byskovvej 17,Tureby,4682,5,125,1919,1000000.0,12-04-2016
Havevænget 7C,Tureby,4682,4,107,2016,1450000.0,07-04-2016
Fruedalsvej 6,Tureby,4682,4,82,1910,1200000.0,25-03-2016
Fløjterupvej 4,Tureby,4682,3,126,1909,2295000.0,16-03-2016
Ringsbjergvej 9,Tureby,4682,6,226,1968,1825000.0,10-03-2016
Byvej 26,Tureby,4682,6,153,1952,2075000.0,09-03-2016
Fløjterupvej 2,Tureby,4682,14,500,1863,1500000.0,11-02-2016
Børstedvej 7,Tureby,4682,8,219,1960,3400000.0,09-02-2016
Byvej 46,Tureby,4682,5,108,1955,1675000.0,15-12-2015
Juellundvej 1,Tureby,4682,5,151,1827,2065000.0,15-12-2015
Ulstrup Bygade 3A,Tureby,4682,4,232,1912,350000.0,13-12-2015
Hejnerupvej 13,Tureby,4682,7,239,1922,2625000.0,26-11-2015
Turebyvej 4,Tureby,4682,4,109,1910,500000.0,25-11-2015
Bjerredevej 47,Tureby,4682,2,78,1936,1250000.0,12-11-2015
Nybyvej 9,Tureby,4682,4,176,1968,2210000.0,03-11-2015
Vordingborgvej 167,Tureby,4682,5,123,1930,1950000.0,27-10-2015
Ringsbjergvej 15,Tureby,4682,6,212,1969,1700000.0,16-09-2015
Ulstrupvej 3,Tureby,4682,3,181,1877,1100000.0,15-09-2015
Rødbylundvej 15,Tureby,4682,4,113,1924,1062500.0,27-08-2015
Byskovvej 9,Tureby,4682,5,184,1900,1400000.0,10-08-2015
Solvænget 17,Tureby,4682,4,119,1962,1420000.0,27-07-2015
Bjerredevej 9,Tureby,4682,4,157,1913,820000.0,13-07-2015
Ringsbjergvej 41,Tureby,4682,4,136,1908,2050000.0,30-06-2015
Solvænget 12,Tureby,4682,5,144,1962,1785000.0,03-06-2015
Byvej 56,Tureby,4682,4,143,1919,1965000.0,30-04-2015
Havevænget 21,Tureby,4682,4,89,1983,1340000.0,30-04-2015
Skrosbjergvej 15,Tureby,4682,6,170,1884,7250000.0,30-04-2015
Tågerupvej 19,Tureby,4682,7,204,1877,1845000.0,19-04-2015
Sonnerupvej 83,Tureby,4682,5,140,1930,1495000.0,10-04-2015
Toftevej 5,Tureby,4682,5,150,1970,1325000.0,09-04-2015
Banevej 10,Tureby,4682,5,136,1968,891500.0,07-04-2015
Børstedvej 18,Tureby,4682,4,243,1914,1500000.0,20-02-2015
Slimmingevej 5,Tureby,4682,3,104,1953,1670000.0,13-02-2015
Bjerredevej 5,Tureby,4682,3,100,1960,550000.0,12-02-2015
Byskovvej 24,Tureby,4682,4,139,1973,1295000.0,11-01-2015
Byskovparken 2,Tureby,4682,5,110,2006,1302486.0,06-01-2015
Rødbylundvej 3,Tureby,4682,5,141,1924,1450000.0,16-12-2014
Byvej 29,Tureby,4682,5,118,1955,1745000.0,01-12-2014
Rødbylundvej 12,Tureby,4682,5,186,1924,2685000.0,18-11-2014
Banevej 16,Tureby,4682,4,121,1970,1327000.0,08-10-2014
Solvænget 11,Tureby,4682,4,98,1915,1050000.0,22-09-2014
Solvænget 6,Tureby,4682,4,105,1962,770000.0,10-08-2014
Juellundvej 7,Tureby,4682,4,180,1977,1575000.0,04-08-2014
Tolstrupvej 4,Tureby,4682,8,160,1914,123000.0,30-07-2014
Slimmingevej 2,Tureby,4682,7,200,1780,123000.0,29-07-2014
Solvænget 13,Tureby,4682,3,79,1962,550000.0,24-07-2014
Vordingborgvej 328,Tureby,4682,5,133,1925,2700000.0,27-06-2014
Sæddervej 25,Tureby,4682,7,262,1934,400000.0,02-06-2014
Stenledsvej 4,Tureby,4682,4,126,1960,600000.0,12-05-2014
Ankerstræde 7,Tureby,4682,8,323,2006,5500000.0,30-04-2014
Turebyvej 21,Tureby,4682,4,160,1950,900000.0,29-04-2014
Skrosbjergvej 2,Tureby,4682,9,233,1911,2000000.0,28-04-2014
Tvedvej 4,Tureby,4682,5,155,1905,3050000.0,22-04-2014
Ankerstræde 10,Tureby,4682,5,148,1827,1141371.0,06-04-2014
Sæddervej 20,Tureby,4682,3,108,1962,1130000.0,03-04-2014
Ulstrupvej 7,Tureby,4682,5,168,1916,3600000.0,31-03-2014
Indelukket 12,Tureby,4682,4,211,1887,2550000.0,28-03-2014
Gammel Skovvej 3,Tureby,4682,4,148,1870,2400000.0,27-03-2014
Byskovvej 66,Tureby,4682,5,130,1877,1050000.0,10-03-2014
Agertoften 17,Tureby,4682,7,183,1970,1750000.0,06-03-2014
"Turebyvej 10, ST",Tureby,4682,5,150,1900,1900000.0,18-02-2014
"Turebyvej 10, 2",Tureby,4682,5,146,1900,1900000.0,18-02-2014
"Turebyvej 10, 1",Tureby,4682,5,150,1900,1900000.0,18-02-2014
Vordingborgvej 183,Tureby,4682,5,178,1937,1950000.0,16-02-2014
Vordingborgvej 208,Tureby,4682,5,159,1962,1200000.0,29-01-2014
Skovvej 7,Tureby,4682,5,132,1961,650818.0,22-01-2014
Vangevej 2,Tureby,4682,9,186,1933,351000.0,28-11-2013
Vordingborgvej 212,Tureby,4682,5,168,1946,1800000.0,13-11-2013
Oksholmvej 1,Tureby,4682,5,143,1935,1086000.0,23-10-2013
Byskovparken 4A,Tureby,4682,3,91,2006,1149000.0,14-09-2013
Bjerredevej 24,Tureby,4682,5,165,1877,1000000.0,11-09-2013
Byskovvej 46,Tureby,4682,5,144,1906,1200000.0,11-09-2013
Banevej 34,Tureby,4682,4,111,1966,625000.0,22-08-2013
Ulstrupvej 6,Tureby,4682,4,114,1897,395000.0,12-08-2013
Vordingborgvej 173,Tureby,4682,6,166,1925,1850000.0,12-07-2013
