street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Tjørne Alle 22,Esbjerg V,6710,4,119,1962,1105000.0,24-05-2017
Parkvej 83,Esbjerg V,6710,7,216,1980,2200000.0,22-05-2017
Åbakken 15,Esbjerg V,6710,4,86,2008,700000.0,18-05-2017
Søstjernen 26,Esbjerg V,6710,4,127,1972,625000.0,15-05-2017
Eriksensvej 40,Esbjerg V,6710,6,145,1966,1850000.0,15-05-2017
Bogøvej 2,Esbjerg V,6710,4,114,1964,1300000.0,10-05-2017
Muslingevej 56,Esbjerg V,6710,6,173,1970,200000.0,09-05-2017
Liljevænget 25,Esbjerg V,6710,6,166,1973,1250000.0,09-05-2017
Vestervej 11,Esbjerg V,6710,3,61,1991,935000.0,03-05-2017
Højagervej 4,Esbjerg V,6710,8,223,1972,594391.0,28-04-2017
Strandpromenaden 51,Esbjerg V,6710,6,241,1962,7000500.0,21-04-2017
Vibevænget 14,Esbjerg V,6710,6,181,1973,7050000.0,21-04-2017
Skelbækvej 9,Esbjerg V,6710,7,195,1966,1162668.0,06-04-2017
Ådalshaven 60,Esbjerg V,6710,4,117,1977,861155.0,06-04-2017
Lodsvænget 60,Esbjerg V,6710,5,141,1973,2075000.0,06-04-2017
Fyrvej 1,Esbjerg V,6710,3,85,1955,1200000.0,04-04-2017
Gåsebakken 24,Esbjerg V,6710,5,181,2006,2125000.0,31-03-2017
Tjalken 38,Esbjerg V,6710,5,196,1997,2100000.0,31-03-2017
"Granly Alle 5A, 1. TH",Esbjerg V,6710,3,89,1969,880000.0,30-03-2017
Skippervænget 102,Esbjerg V,6710,6,191,1978,2306000.0,30-03-2017
Mosevangen 60,Esbjerg V,6710,5,134,1973,1865000.0,29-03-2017
Elmegårdsvej 14,Esbjerg V,6710,4,103,1967,779886.0,28-03-2017
"Granly Alle 5F, ST. MF",Esbjerg V,6710,2,46,1969,358000.0,27-03-2017
Jollen 1,Esbjerg V,6710,5,150,2012,3000000.0,24-03-2017
Kokspangvej 75,Esbjerg V,6710,3,112,1800,416000.0,24-03-2017
Ærøvej 13,Esbjerg V,6710,7,203,1981,2100000.0,24-03-2017
Præstevænget 4,Esbjerg V,6710,6,160,1830,1350000.0,24-03-2017
Parkvej 110,Esbjerg V,6710,5,150,1968,1400000.0,22-03-2017
Ådalen 67,Esbjerg V,6710,4,64,1986,600000.0,21-03-2017
Åmosevænget 2,Esbjerg V,6710,4,120,1976,648000.0,19-03-2017
Venusvænget 57,Esbjerg V,6710,4,131,1979,1450000.0,15-03-2017
Sædding Strandvej 125,Esbjerg V,6710,5,146,1955,2700000.0,13-03-2017
Muslingevej 16,Esbjerg V,6710,4,132,1971,1000000.0,08-03-2017
Styrmandsvænget 86,Esbjerg V,6710,4,125,1978,2500000.0,07-03-2017
Fyrparken 3,Esbjerg V,6710,3,81,1956,908000.0,07-03-2017
Sanatorievej 50,Esbjerg V,6710,3,56,2007,198350.0,06-03-2017
Parkvej 108,Esbjerg V,6710,4,131,1968,1250000.0,02-03-2017
Tvillingernes Kvarter 17,Esbjerg V,6710,5,136,1980,1850000.0,01-03-2017
Susåvænget 37,Esbjerg V,6710,4,116,1977,1350000.0,01-03-2017
Snerlevej 28,Esbjerg V,6710,5,174,1973,1075000.0,28-02-2017
Ådraget 9,Esbjerg V,6710,3,63,1987,1155000.0,26-02-2017
Matrosvænget 37,Esbjerg V,6710,4,118,1986,1440000.0,24-02-2017
Matrosvænget 147,Esbjerg V,6710,4,102,1987,1639000.0,23-02-2017
