street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Spurvevænget 12,Kirke Hyllinge,4070,3,50,1971,183953.0,04-05-2017
Anders Rasmussensvej 14,Kirke Hyllinge,4070,5,136,1980,1550000.0,04-05-2017
Claus Henrisvej 3,Kirke Hyllinge,4070,4,133,1969,1815000.0,28-04-2017
Åvangen 15,Kirke Hyllinge,4070,4,80,1977,590000.0,28-04-2017
Brusagervej 11,Kirke Hyllinge,4070,3,87,1981,650000.0,27-04-2017
Ebbevænget 7,Kirke Hyllinge,4070,5,162,2005,1350000.0,26-04-2017
Claus Henrisvej 5,Kirke Hyllinge,4070,4,120,1967,1950000.0,21-04-2017
Harekærgårdsvej 51,Kirke Hyllinge,4070,3,53,2001,395000.0,11-04-2017
Stendyssen 30,Kirke Hyllinge,4070,3,61,1965,750000.0,07-04-2017
Strandagervænge 23,Kirke Hyllinge,4070,3,50,1965,1500000.0,02-04-2017
Blommevej 14,Kirke Hyllinge,4070,4,185,2004,3300000.0,01-04-2017
Harekærgårdsvej 20,Kirke Hyllinge,4070,4,92,1986,965000.0,31-03-2017
Clematisvej 13,Kirke Hyllinge,4070,4,88,1983,286354.0,30-03-2017
Harekærgårdsvej 14,Kirke Hyllinge,4070,3,120,1993,1460000.0,27-03-2017
Harekærgårdsvej 38,Kirke Hyllinge,4070,1,23,1980,395000.0,27-03-2017
Egebregnen 16,Kirke Hyllinge,4070,3,49,1970,450000.0,22-03-2017
Lindegårdsvej 4,Kirke Hyllinge,4070,5,225,1920,562113.0,20-03-2017
Sæbyparken 14,Kirke Hyllinge,4070,4,120,1973,1075000.0,17-03-2017
Gershøjvej 71,Kirke Hyllinge,4070,5,100,1725,1995000.0,16-03-2017
Ligustervej 31,Kirke Hyllinge,4070,4,80,1965,630000.0,14-03-2017
Bovelgårdsvej 32,Kirke Hyllinge,4070,4,149,1978,1375000.0,08-03-2017
Troldhøj 6,Kirke Hyllinge,4070,6,108,1961,722500.0,07-03-2017
Kærvej 13,Kirke Hyllinge,4070,3,53,1966,300000.0,01-03-2017
Ejbybrovej 18,Kirke Hyllinge,4070,3,39,1969,475000.0,01-03-2017
Åhusene 22,Kirke Hyllinge,4070,5,69,1961,645000.0,28-02-2017
Holtensmindevej 75,Kirke Hyllinge,4070,4,176,1820,1000000.0,28-02-2017
Hindebregnen 2,Kirke Hyllinge,4070,3,48,1967,425000.0,27-02-2017
Lyndby Gade 31,Kirke Hyllinge,4070,5,123,1918,844000.0,27-02-2017
Pilevang 16,Kirke Hyllinge,4070,4,66,1973,360000.0,24-02-2017
Lærkevej 16,Kirke Hyllinge,4070,3,60,1973,450500.0,21-02-2017
Harekærgårdsvej 27,Kirke Hyllinge,4070,3,47,2004,660000.0,19-02-2017
Møllevej 7,Kirke Hyllinge,4070,3,87,1964,1195000.0,16-02-2017
Ingridsvej 12,Kirke Hyllinge,4070,4,178,1973,2105000.0,15-02-2017
Bovelgårdsvej 41,Kirke Hyllinge,4070,5,185,1976,1400000.0,15-02-2017
Kirkevej 15,Kirke Hyllinge,4070,4,156,1974,1650000.0,14-02-2017
Strandbakken 32,Kirke Hyllinge,4070,4,59,1965,100986.0,14-02-2017
Bakkesvinget 68,Kirke Hyllinge,4070,3,79,2009,800000.0,13-02-2017
Harekærgårdsvej 76,Kirke Hyllinge,4070,4,88,1980,475000.0,07-02-2017
Hyllingeparken 65,Kirke Hyllinge,4070,5,149,1977,1995000.0,06-02-2017
Åskrænten 13,Kirke Hyllinge,4070,3,60,1985,505000.0,01-02-2017
Bigårdsvej 13,Kirke Hyllinge,4070,4,123,1973,1550000.0,27-01-2017
Troldager 7,Kirke Hyllinge,4070,4,82,1974,750000.0,27-01-2017
Hyllingeparken 18,Kirke Hyllinge,4070,6,161,1977,1600000.0,26-01-2017
Elverdamsvej 338,Kirke Hyllinge,4070,4,78,1877,1305000.0,25-01-2017
Frederiksdalvej 2,Kirke Hyllinge,4070,3,80,1954,1800000.0,23-01-2017
Hyllingeparken 14,Kirke Hyllinge,4070,4,206,1977,2200000.0,20-01-2017
Stendyssen 3,Kirke Hyllinge,4070,2,30,1963,375000.0,18-01-2017
Østervang 1,Kirke Hyllinge,4070,4,78,1907,1100000.0,18-01-2017
Kyndeløsevej 16,Kirke Hyllinge,4070,4,110,1924,1550000.0,17-01-2017
Møllevej 21,Kirke Hyllinge,4070,4,132,1965,1475000.0,16-01-2017
Bigårdsvej 43,Kirke Hyllinge,4070,4,115,1977,1550000.0,16-01-2017
Niels Hansensvej 6,Kirke Hyllinge,4070,4,52,1967,595000.0,09-01-2017
Troldsti 3,Kirke Hyllinge,4070,4,100,1981,1550000.0,04-01-2017
Harekærgårdsvej 57,Kirke Hyllinge,4070,4,84,1978,573000.0,01-01-2017
Karlebyvej 64,Kirke Hyllinge,4070,4,188,1827,2185000.0,30-12-2016
Valdemarsvej 10,Kirke Hyllinge,4070,4,148,1983,1675000.0,27-12-2016
Cedervej 7,Kirke Hyllinge,4070,4,82,1979,945000.0,23-12-2016
Hornsherredvej 417,Kirke Hyllinge,4070,6,230,1864,4050000.0,16-12-2016
Sæbyvej 28,Kirke Hyllinge,4070,9,284,1914,4980905.0,16-12-2016
