street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Kildevej 14,Spjald,6971,6,227,2007,1995000.0,04-05-2015
Vesterbækvej 6,Spjald,6971,6,159,1931,1300000.0,29-04-2015
Væggerskildevej 10,Spjald,6971,7,175,1936,1525000.0,17-04-2015
Holmgårdsvej 2,Spjald,6971,8,339,2002,100000.0,13-04-2015
Skolegade 45,Spjald,6971,4,100,1962,770000.0,09-04-2015
Ølstrupvej 6,Spjald,6971,8,207,1944,9143271.0,01-04-2015
Mosdalvej 5,Spjald,6971,7,203,1910,1400000.0,01-04-2015
Holmgårdsvej 1,Spjald,6971,6,160,1890,2500000.0,30-03-2015
Ådalen 5,Spjald,6971,5,194,2016,300000.0,30-03-2015
Hovedgaden 99,Spjald,6971,5,130,1930,300000.0,27-03-2015
Stadionvej 10,Spjald,6971,4,101,1914,515000.0,16-03-2015
Havrevænget 7,Spjald,6971,5,170,1970,1200000.0,12-03-2015
Hovedgaden 67,Spjald,6971,4,132,1892,157000.0,06-03-2015
Kjærgårdsvej 10,Spjald,6971,11,376,1901,9375000.0,02-03-2015
Brejningvej 2,Spjald,6971,9,274,1929,2500000.0,05-01-2015
Skærmbjerg 34,Spjald,6971,4,139,1979,475000.0,18-12-2014
Hasselvej 10,Spjald,6971,4,133,1972,950000.0,17-12-2014
Stadionvej 2,Spjald,6971,3,88,2002,940000.0,02-12-2014
Skolevænget 7,Spjald,6971,7,147,1964,635000.0,28-11-2014
Brejninggårdsvej 16,Spjald,6971,4,109,1958,200000.0,15-11-2014
Lyngsmosevej 5,Spjald,6971,9,247,1966,310920.0,04-11-2014
Vinkelvej 7,Spjald,6971,4,173,1927,860000.0,01-11-2014
Ringkøbingvej 66,Spjald,6971,6,130,1948,100000.0,29-10-2014
Vestergade 25,Spjald,6971,4,113,1959,695000.0,20-10-2014
Søndervang 8,Spjald,6971,8,294,1968,900000.0,20-10-2014
Hovedgaden 4,Spjald,6971,8,192,1916,1450000.0,06-10-2014
Hovedgaden 60,Spjald,6971,9,206,1915,595000.0,22-09-2014
Hovedgaden 73,Spjald,6971,5,142,1891,227985.0,12-09-2014
Hovervej 125,Spjald,6971,2,72,1939,100000.0,02-09-2014
Engvang 2,Spjald,6971,7,254,1979,1630000.0,25-08-2014
Østervænget 11,Spjald,6971,9,61,1975,825000.0,14-08-2014
Røjkumvej 12,Spjald,6971,6,252,2005,2500000.0,11-08-2014
Skærmbjerg 26,Spjald,6971,6,206,1979,745000.0,04-08-2014
Hovedgaden 56,Spjald,6971,4,195,1919,250000.0,13-07-2014
Kærhusvej 10,Spjald,6971,3,80,1939,115000.0,11-07-2014
Skovbakken 24,Spjald,6971,4,137,1974,460000.0,04-07-2014
Byskellet 30,Spjald,6971,5,148,1990,1175000.0,04-07-2014
Muldbjerg Byvej 6,Spjald,6971,5,129,1911,495000.0,23-06-2014
Mosdalvej 4,Spjald,6971,6,217,1908,1445000.0,19-06-2014
Muldbjergvej 10,Spjald,6971,9,277,1997,1495547.0,10-06-2014
Muldbjergvej 18,Spjald,6971,6,258,1938,1333700.0,10-06-2014
Stadionvej 12,Spjald,6971,5,107,1916,600000.0,30-05-2014
Sønderkjærsvej 7,Spjald,6971,6,107,1929,1425000.0,28-05-2014
Sandbækvej 20,Spjald,6971,6,203,1906,2592500.0,30-04-2014
Hasselvej 24,Spjald,6971,5,142,1978,950000.0,30-04-2014
